pattern,complexity_response,beauty_response,rt,is_repeated,trial
207,81,61,24558,True,1
205,29,42,17550,True,2
182,49,49,12422,False,3
171,36,35,23725,False,4
163,23,38,21673,True,5
166,36,39,15147,False,6
165,18,22,9299,False,7
213,47,71,20895,False,8
211,25,28,20750,False,9
195,16,17,8177,False,10
173,39,58,21496,False,11
200,15,45,17718,False,12
193,51,69,14933,False,13
209,38,63,10080,True,14
205,38,52,11190,True,15
170,25,37,13128,False,16
174,44,51,19896,False,17
196,30,65,8478,False,18
210,27,27,12590,False,19
168,20,22,8449,True,20
199,36,73,11839,False,21
187,29,26,6272,False,22
198,44,58,9644,False,23
209,44,64,12810,True,24
214,34,27,7224,False,25
197,26,60,8206,False,26
176,30,56,11809,False,27
191,59,70,10846,False,28
207,54,67,10432,True,29
179,50,65,10334,False,30
184,58,50,9217,False,31
164,23,16,14013,False,32
169,28,16,7478,False,33
163,25,28,15065,True,34
201,51,74,7305,False,35
183,54,55,11191,False,36
167,33,30,7415,False,37
189,34,27,9408,False,38
178,67,71,9117,False,39
203,64,56,8639,False,40
185,54,71,6547,False,41
186,59,66,9773,False,42
192,48,52,136229,False,43
206,55,60,8119,False,44
188,38,53,5828,False,45
172,37,34,5990,True,46
208,56,74,8398,False,47
177,46,60,8377,False,48
212,48,42,9107,False,49
215,54,42,8600,False,50
190,57,69,7851,False,51
180,46,35,12051,False,52
194,38,64,7204,False,53
168,39,34,8165,True,54
216,57,43,11049,False,55
175,58,82,11372,False,56
172,44,39,9583,True,57
181,45,39,12809,False,58
202,55,52,6880,False,59
204,64,52,4936,False,60
