pattern,complexity_response,beauty_response,rt,is_repeated,trial
49,68,36,5552,False,1
28,60,71,4289,False,2
46,53,37,4896,False,3
31,46,41,5766,False,4
48,37,70,3675,False,5
42,47,63,5130,True,6
29,29,72,3380,False,7
10,20,20,3242,False,8
19,41,75,3175,False,9
5,16,59,3668,False,10
44,46,44,4140,True,11
37,50,49,3751,False,12
11,23,21,2839,False,13
13,23,26,2377,True,14
17,20,21,2406,False,15
9,22,48,6584,True,16
47,29,24,2838,False,17
43,24,27,2399,False,18
45,28,26,2413,False,19
6,24,26,2426,False,20
34,21,20,4326,False,21
36,17,18,3504,True,22
40,16,19,2756,False,23
2,9,4,3277,False,24
36,29,52,2507,True,25
52,62,63,4238,False,26
24,17,17,2644,False,27
20,16,19,2228,False,28
18,14,17,2200,False,29
15,14,15,2256,False,30
9,12,14,2317,True,31
27,15,16,2584,False,32
44,15,16,2647,True,33
8,16,17,2693,False,34
30,13,18,2604,False,35
14,51,56,3482,False,36
4,7,82,3044,False,37
51,13,12,2467,False,38
38,39,55,3551,False,39
41,37,62,2831,False,40
26,17,77,2969,False,41
25,30,82,3011,False,42
54,79,18,3681,True,43
33,76,32,2612,False,44
39,44,49,2665,False,45
35,50,50,2502,False,46
1,5,6,3346,False,47
3,7,9,2343,False,48
53,50,23,2667,False,49
7,18,18,2302,False,50
50,15,16,2694,False,51
23,70,42,2693,False,52
54,69,46,1946,True,53
21,59,46,5917,False,54
16,17,22,4284,False,55
22,21,27,3085,False,56
12,17,68,3900,False,57
42,54,75,2899,True,58
13,18,18,3982,True,59
32,39,20,3783,False,60
