pattern,complexity_response,beauty_response,rt,is_repeated,trial
138,44,62,6734,False,1
149,81,13,4059,False,2
141,75,9,4743,False,3
116,8,11,5668,False,4
131,90,26,8152,False,5
152,51,90,6290,False,6
125,21,13,3666,False,7
130,33,86,5651,True,8
159,43,87,3586,False,9
119,10,54,4596,True,10
118,31,4,4379,False,11
134,39,70,9439,False,12
144,51,97,5027,True,13
112,36,1,8929,False,14
139,2,88,4338,False,15
153,30,82,4176,False,16
121,15,78,3918,False,17
127,26,69,3051,False,18
124,61,8,4581,False,19
140,64,88,7614,False,20
129,50,72,3175,False,21
161,96,10,4298,False,22
157,97,2,4167,False,23
142,63,98,4671,False,24
156,76,27,4473,False,25
151,79,96,6746,False,26
109,2,15,8691,False,27
143,23,94,4808,True,28
122,52,6,6222,False,29
136,74,93,3937,False,30
150,82,44,3826,False,31
133,70,94,3991,False,32
160,76,25,4168,True,33
128,11,50,3269,False,34
114,12,59,4225,False,35
130,42,75,9096,True,36
137,69,33,6135,False,37
154,72,85,3107,False,38
148,58,88,3192,False,39
123,20,20,3582,False,40
132,58,90,4517,False,41
117,32,80,3075,False,42
110,16,95,4209,False,43
147,57,36,8226,False,44
146,75,75,3220,False,45
155,82,85,3251,False,46
162,79,43,4225,True,47
144,26,92,7342,True,48
160,82,15,3692,True,49
115,53,2,3592,False,50
145,51,81,3537,False,51
120,51,59,6110,False,52
126,25,68,5811,False,53
162,77,33,7012,True,54
143,60,82,6125,True,55
119,14,97,5900,True,56
111,12,87,3180,False,57
158,91,7,3432,False,58
135,67,66,4159,False,59
113,8,52,3326,False,60
