pattern,complexity_response,beauty_response,rt,is_repeated,trial
13,95,65,49120,False,1
32,51,100,9126,False,2
24,92,53,6325,False,3
23,85,100,12188,True,4
36,86,100,8504,False,5
53,100,53,7949,False,6
42,70,100,8375,True,7
23,77,100,7286,True,8
34,8,100,10262,True,9
40,0,100,5125,True,10
21,11,100,4950,False,11
40,8,100,4621,True,12
11,53,52,7157,False,13
14,50,99,8702,False,14
52,40,100,7326,False,15
17,15,7,6109,False,16
46,86,51,10143,False,17
50,99,20,5614,True,18
39,12,100,6190,False,19
10,1,1,5758,False,20
22,49,26,7198,False,21
49,73,29,6013,False,22
26,45,100,8454,False,23
27,41,23,5220,False,24
8,46,12,7186,False,25
51,83,16,4522,True,26
25,11,100,7743,False,27
41,1,100,4773,False,28
43,93,5,4646,False,29
1,13,2,5966,False,30
31,77,16,4159,False,31
54,91,17,11815,False,32
50,88,34,4478,True,33
37,37,100,7511,False,34
18,16,99,4375,False,35
15,49,35,4480,False,36
20,62,64,6726,False,37
7,23,84,7287,False,38
47,45,49,2910,False,39
34,50,100,5167,True,40
38,36,100,4572,False,41
33,50,32,4550,False,42
3,41,47,4086,False,43
28,52,100,5118,False,44
4,16,100,4231,False,45
19,17,100,4630,False,46
5,9,100,5221,False,47
30,43,100,5167,False,48
2,31,25,4062,False,49
16,24,24,3687,False,50
42,52,100,5503,True,51
44,52,100,3694,False,52
35,50,100,4518,False,53
45,71,100,5286,False,54
12,41,100,3646,False,55
48,50,100,4486,False,56
9,47,100,4182,False,57
6,26,100,4255,False,58
29,49,100,4229,False,59
51,81,49,8548,True,60
