pattern,complexity_response,beauty_response,rt,is_repeated,trial
91,44,57,12050,False,1
92,26,32,7525,False,2
70,8,8,5670,False,3
90,26,17,17958,True,4
83,72,28,5725,False,5
105,58,29,3704,False,6
80,19,16,3818,False,7
79,13,10,4467,False,8
101,24,58,4759,False,9
81,15,49,4506,False,10
99,48,49,4758,False,11
62,15,42,4602,False,12
73,37,28,5493,True,13
104,58,12,4224,False,14
96,56,13,6249,False,15
65,16,16,4294,False,16
86,36,21,7470,False,17
63,13,3,5280,True,18
74,12,70,6745,False,19
56,6,7,4814,False,20
107,59,17,5543,False,21
55,1,54,5388,False,22
59,11,9,5166,False,23
93,65,48,4508,False,24
84,41,29,6218,False,25
90,42,17,6547,True,26
106,61,21,3180,False,27
77,46,12,6347,True,28
89,75,67,4381,False,29
85,51,72,5937,False,30
61,17,13,4787,False,31
102,42,11,3628,False,32
68,34,43,6537,False,33
95,39,11,3752,False,34
100,63,14,4584,False,35
75,41,51,4950,False,36
76,56,50,4876,True,37
88,60,49,3860,False,38
97,64,9,4043,False,39
103,49,6,4215,False,40
66,69,48,4089,False,41
108,66,54,4384,True,42
71,46,83,5502,False,43
78,52,68,4286,False,44
67,36,13,5422,False,45
77,38,12,3335,True,46
82,41,7,4073,False,47
63,23,11,7525,True,48
64,67,64,4603,False,49
108,73,52,4439,True,50
94,79,67,6230,False,51
72,63,75,5699,False,52
87,74,71,4554,False,53
60,8,61,5310,False,54
58,10,6,3558,False,55
76,68,61,4438,True,56
57,9,7,4159,False,57
98,71,71,3702,False,58
69,21,2,3822,False,59
73,77,70,5069,True,60
