pattern,complexity_response,beauty_response,rt,is_repeated,trial
4,29,52,5944,False,1
9,40,48,6800,False,2
40,50,68,4032,True,3
47,61,14,5658,False,4
1,2,2,6323,False,5
24,58,18,6013,False,6
38,32,78,5474,False,7
25,31,95,3778,True,8
44,27,73,25953,True,9
22,24,7,65924,False,10
27,17,36,6336,False,11
26,65,69,5433,False,12
13,8,8,3799,False,13
18,6,82,5938,False,14
7,16,50,4025,False,15
50,80,2,7403,False,16
44,57,87,5427,True,17
53,76,31,8505,False,18
51,78,17,3643,False,19
36,51,85,5170,False,20
6,24,71,5897,True,21
14,37,76,6273,False,22
11,35,16,5445,True,23
49,67,17,3687,False,24
41,27,90,6611,False,25
16,51,7,4841,False,26
40,24,87,6245,True,27
30,34,92,4591,False,28
32,17,98,6609,False,29
39,14,88,4640,False,30
19,33,91,7861,False,31
31,64,54,4752,False,32
28,42,100,7395,False,33
10,23,24,6578,False,34
25,33,99,5176,True,35
20,25,76,5094,False,36
48,31,96,4926,False,37
17,86,36,5817,False,38
11,55,22,4678,True,39
54,85,44,3740,False,40
29,34,92,10643,True,41
6,9,12,5088,True,42
35,27,85,3956,False,43
33,77,32,4546,False,44
2,8,5,7497,False,45
52,37,86,4048,False,46
15,50,11,3726,False,47
8,48,12,6917,False,48
21,24,89,4277,False,49
12,19,95,3935,False,50
29,21,95,4969,True,51
34,12,100,6161,False,52
3,14,60,4697,False,53
5,16,72,6570,False,54
45,54,87,4639,False,55
46,48,71,58179,False,56
37,49,94,4633,False,57
43,82,36,4161,False,58
23,65,65,4459,False,59
42,72,86,5073,False,60
