pattern,complexity_response,beauty_response,rt,is_repeated,trial
56,36,31,6999,False,1
58,49,41,6232,False,2
83,49,44,5464,False,3
101,53,43,4166,False,4
77,63,54,6999,True,5
71,33,36,4248,False,6
59,52,47,3832,False,7
61,31,31,5050,False,8
106,57,36,3487,False,9
79,48,22,6026,False,10
60,40,26,4149,True,11
84,47,33,3283,False,12
93,61,45,4267,True,13
89,58,44,3164,False,14
76,53,57,5571,False,15
103,62,49,3817,True,16
99,99,99,9530,False,17
73,67,65,10317,False,18
82,73,56,4260,False,19
70,36,50,3621,False,20
103,57,43,2866,True,21
90,58,58,3482,False,22
80,64,45,3053,False,23
81,58,52,4265,False,24
74,66,56,6032,False,25
69,39,50,4148,False,26
88,46,48,3399,False,27
95,61,53,2951,False,28
63,57,45,3597,False,29
72,59,46,4598,False,30
94,62,57,3932,True,31
98,65,58,2498,False,32
100,60,50,2750,False,33
62,54,65,3616,False,34
60,31,36,4365,True,35
104,45,36,2732,True,36
64,32,33,4474,False,37
93,63,39,3507,True,38
78,31,44,2614,False,39
96,71,62,3617,False,40
105,66,65,4932,False,41
107,67,40,3699,False,42
75,45,44,3281,False,43
85,43,44,2515,False,44
68,40,40,2633,False,45
57,29,62,6115,False,46
86,36,36,3401,False,47
104,27,29,2513,True,48
108,30,35,3048,False,49
66,33,33,2733,False,50
91,32,35,2732,False,51
77,40,32,3949,True,52
55,22,19,3515,False,53
92,41,38,4484,False,54
94,58,41,5581,True,55
102,53,53,2748,False,56
65,39,47,3266,False,57
67,21,9,5699,False,58
87,50,43,3477,False,59
97,54,59,3619,False,60
