pattern,complexity_response,beauty_response,rt,is_repeated,trial
70,85,5,13875,False,1
72,54,75,8203,False,2
103,60,32,10105,False,3
77,90,2,7621,False,4
82,87,38,10506,False,5
68,8,84,6199,False,6
92,1,91,6803,False,7
102,76,50,7378,False,8
91,2,99,5554,False,9
90,19,83,6609,False,10
58,5,4,10443,True,11
71,5,74,5709,True,12
67,12,1,13549,True,13
60,3,91,4565,True,14
67,48,9,9027,True,15
79,60,51,10291,False,16
73,15,90,5033,False,17
89,17,79,5539,False,18
106,87,51,24976,False,19
85,19,81,5236,False,20
107,65,51,8613,True,21
97,65,50,6292,False,22
86,20,89,8074,False,23
75,12,85,10629,False,24
98,5,95,4414,False,25
99,11,86,5830,False,26
64,13,91,3407,False,27
60,1,75,4387,True,28
84,12,83,5498,False,29
71,4,81,5991,True,30
63,61,10,9068,False,31
61,68,11,13790,False,32
57,66,20,4775,False,33
93,7,77,5637,False,34
107,63,64,10059,True,35
108,59,91,82132,False,36
59,6,9,7444,False,37
104,72,23,154889,False,38
101,12,94,3802,False,39
94,15,85,10745,False,40
76,20,83,5362,False,41
83,7,75,23162,False,42
105,50,21,21058,False,43
88,12,78,4108,True,44
95,67,46,4243,False,45
55,1,83,5002,False,46
78,13,79,3785,False,47
96,37,49,6126,False,48
69,62,4,5008,False,49
56,2,4,3979,False,50
62,8,67,4292,False,51
74,6,79,5710,False,52
58,29,3,8104,True,53
88,22,83,10125,True,54
66,12,66,5926,False,55
80,53,2,6908,False,56
65,40,0,9577,False,57
87,28,73,5885,False,58
81,13,68,4051,False,59
100,48,56,31885,False,60
