pattern,complexity_response,beauty_response,rt,is_repeated,trial
198,29,62,8876,False,1
173,24,64,6308,False,2
175,13,56,5681,False,3
183,38,66,9444,True,4
196,31,57,7229,True,5
183,38,64,6215,True,6
201,47,58,8604,False,7
202,49,52,6202,True,8
177,35,42,6713,False,9
190,45,66,9295,True,10
213,54,56,8295,True,11
174,32,66,6112,False,12
211,78,35,12112,False,13
212,70,31,5697,True,14
182,33,39,5777,False,15
172,10,67,5548,False,16
168,20,62,7579,False,17
194,23,67,8129,False,18
181,48,67,7712,False,19
188,36,69,5798,False,20
187,69,56,5927,False,21
190,50,72,6096,True,22
215,79,61,8982,False,23
176,29,23,5230,False,24
192,75,80,6244,False,25
178,57,71,5513,False,26
189,53,53,9477,False,27
213,44,69,7662,True,28
179,44,55,6113,False,29
191,57,72,6031,False,30
186,44,67,5380,False,31
184,56,44,6762,False,32
180,48,37,7213,False,33
203,52,43,8178,False,34
185,45,69,6128,False,35
167,18,24,7863,False,36
166,20,37,4778,False,37
212,62,44,6180,True,38
196,40,50,7631,True,39
208,64,56,6028,False,40
214,67,55,5663,False,41
205,52,77,5046,False,42
210,69,52,6496,False,43
202,53,45,6747,True,44
199,42,66,5095,False,45
193,50,69,5044,False,46
197,51,66,5165,False,47
207,63,76,7610,False,48
163,10,35,6270,False,49
169,64,40,13636,False,50
170,32,55,6667,False,51
164,18,14,7792,False,52
165,28,27,5578,False,53
216,66,42,7098,False,54
200,49,52,4697,False,55
171,30,26,5397,False,56
209,50,44,5902,False,57
195,48,44,5996,False,58
204,55,43,4529,False,59
206,63,74,4914,False,60
