pattern,complexity_response,beauty_response,rt,is_repeated,trial
9,46,39,4989,False,1
42,63,37,3755,False,2
46,49,4,2856,False,3
16,20,7,2538,False,4
17,29,36,18437,True,5
25,51,69,5677,False,6
31,41,26,5049,False,7
51,33,35,3087,False,8
15,20,22,2133,False,9
52,52,74,2420,True,10
24,3,1,2066,False,11
2,3,4,3967,False,12
41,15,6,2355,False,13
19,51,77,3281,False,14
44,53,70,1887,False,15
47,27,3,3046,False,16
36,22,8,2205,False,17
4,15,85,3486,False,18
10,3,3,2815,False,19
21,7,78,2675,False,20
29,14,82,1914,False,21
35,16,25,2201,False,22
3,16,14,2063,False,23
48,11,67,1921,False,24
12,10,93,1830,False,25
30,8,78,1554,True,26
20,17,79,2806,False,27
32,17,44,2364,True,28
18,18,42,2065,False,29
26,19,89,2568,False,30
53,13,20,3319,False,31
27,22,28,2181,False,32
13,25,29,2137,False,33
32,25,8,1753,True,34
1,8,1,2971,False,35
50,8,3,2022,False,36
45,43,85,4426,False,37
49,64,30,3387,True,38
43,34,38,2488,False,39
30,26,78,3155,True,40
33,65,10,2796,False,41
8,27,2,2795,False,42
38,29,28,2606,False,43
54,34,32,2401,False,44
37,71,60,3396,False,45
49,39,36,3754,True,46
17,14,12,2559,True,47
5,9,91,2112,False,48
14,75,94,3330,False,49
22,33,0,3298,False,50
39,23,44,2482,False,51
34,17,56,1946,False,52
7,7,5,2171,True,53
28,11,88,2009,False,54
40,13,29,1833,False,55
6,17,82,1744,False,56
23,16,83,2709,False,57
11,18,12,1945,False,58
7,12,6,1832,True,59
52,10,90,3242,True,60
