pattern,complexity_response,beauty_response,rt,is_repeated,trial
73,22,55,4357,False,1
65,8,73,2931,False,2
78,60,77,3115,False,3
67,4,24,2697,False,4
82,28,37,2745,False,5
62,5,87,3001,True,6
92,52,80,3107,False,7
94,97,91,2833,True,8
86,79,84,2546,False,9
55,7,4,2930,False,10
101,81,65,2834,False,11
108,90,83,2103,False,12
66,93,96,2959,False,13
75,41,61,2901,False,14
98,44,51,2925,False,15
102,38,59,2673,False,16
58,6,25,3313,False,17
104,80,18,2664,False,18
90,47,36,3203,False,19
88,77,77,2953,False,20
84,29,15,3219,False,21
85,39,47,2723,False,22
93,83,73,2619,False,23
97,82,39,3933,True,24
63,9,5,2688,True,25
80,85,1,4815,False,26
56,3,6,2839,False,27
61,3,17,2943,False,28
83,91,87,2839,False,29
71,4,3,3495,False,30
57,4,6,2902,False,31
69,48,10,3298,False,32
100,82,20,3481,False,33
76,77,75,3006,False,34
60,4,96,3162,False,35
74,53,72,3667,False,36
87,94,84,2715,False,37
105,86,99,3604,False,38
77,20,62,3783,False,39
81,2,94,3179,True,40
103,93,6,3589,False,41
96,98,98,3875,False,42
72,51,72,2843,False,43
64,36,58,3849,False,44
59,5,9,2211,False,45
97,79,40,5261,True,46
94,98,74,3347,True,47
91,83,73,1913,False,48
81,2,6,2853,True,49
107,92,5,2739,False,50
89,97,94,3188,True,51
99,94,94,1945,False,52
95,92,3,2815,False,53
63,5,2,2558,True,54
62,30,47,3329,True,55
89,84,88,2423,True,56
70,1,7,3085,False,57
68,27,44,3135,False,58
79,4,75,5333,False,59
106,92,6,4181,False,60
