pattern,complexity_response,beauty_response,rt,is_repeated,trial
111,43,63,10124,False,1
150,66,52,6450,False,2
130,40,63,4442,False,3
159,61,65,6424,False,4
141,36,35,6052,False,5
113,39,36,5823,False,6
122,36,36,6638,False,7
119,41,66,6517,False,8
128,41,58,4393,False,9
123,41,37,5909,True,10
161,57,42,3746,True,11
125,55,35,5459,False,12
131,57,25,4230,False,13
139,52,60,4030,False,14
116,42,34,3832,False,15
118,47,44,3408,False,16
149,62,53,4884,True,17
137,60,27,4804,False,18
135,60,60,5508,False,19
148,67,67,5111,False,20
109,30,23,17946,False,21
156,63,47,4315,False,22
144,58,62,3689,False,23
142,51,62,3297,False,24
149,58,31,3075,True,25
138,56,55,3069,False,26
114,41,34,6699,False,27
158,64,30,4230,False,28
120,43,33,49224,True,29
124,51,35,5007,False,30
123,51,34,2571,True,31
146,67,59,3013,False,32
151,69,60,2885,False,33
140,70,70,2578,False,34
155,74,81,2594,False,35
145,75,71,2942,False,36
133,63,50,3453,False,37
115,69,31,4236,False,38
152,73,74,3066,False,39
110,54,58,3558,False,40
154,66,64,3800,False,41
127,55,48,6028,True,42
136,62,67,17132,False,43
157,61,56,6177,False,44
112,54,36,3935,False,45
160,63,41,3904,False,46
121,59,47,6065,True,47
153,60,62,2791,False,48
134,56,54,2854,False,49
120,48,33,3486,True,50
129,42,46,4126,False,51
147,56,44,5071,False,52
132,55,68,22538,False,53
161,60,51,2451,True,54
117,50,50,3232,False,55
121,48,45,3407,True,56
162,57,53,2633,False,57
127,46,54,3895,True,58
143,62,62,4141,False,59
126,66,51,3421,False,60
