pattern,complexity_response,beauty_response,rt,is_repeated,trial
104,85,17,10715,True,1
64,64,87,7756,True,2
61,16,12,5575,False,3
68,27,68,7564,False,4
72,36,64,4847,False,5
67,42,30,6325,False,6
85,45,78,4839,False,7
90,57,74,5531,False,8
76,45,59,4319,False,9
56,4,19,4173,False,10
57,3,8,5052,False,11
96,24,39,5163,True,12
82,48,45,6867,False,13
78,56,82,5313,False,14
105,51,72,11531,False,15
71,14,71,4621,False,16
108,26,68,3621,False,17
106,77,77,5474,False,18
97,67,57,5626,False,19
58,37,80,5017,True,20
80,83,30,4063,False,21
86,69,68,5457,False,22
102,81,57,7023,False,23
62,22,81,3808,False,24
58,29,37,6926,True,25
64,45,74,5701,True,26
65,50,63,4485,False,27
74,81,93,7380,False,28
93,69,79,2857,False,29
95,85,28,5595,False,30
91,64,71,4307,False,31
92,74,81,5295,False,32
73,69,76,6195,False,33
98,47,76,4819,True,34
55,5,83,4921,False,35
81,13,83,3351,True,36
60,13,86,3329,False,37
81,19,79,4819,True,38
104,82,64,3295,True,39
63,41,19,6115,False,40
66,65,76,4475,False,41
70,34,8,11653,False,42
103,89,11,5189,False,43
84,34,100,6646,False,44
89,59,60,5417,False,45
77,41,20,6725,False,46
94,80,39,9747,False,47
69,68,19,5311,False,48
87,60,47,3042,False,49
83,57,48,3310,False,50
101,64,77,3703,False,51
75,63,69,3127,False,52
99,66,71,4061,False,53
59,24,45,3173,False,54
96,51,39,6397,True,55
107,65,46,3433,False,56
79,52,26,4161,False,57
100,71,46,5969,False,58
98,65,74,4189,True,59
88,59,54,3129,False,60
