pattern,complexity_response,beauty_response,rt,is_repeated,trial
192,51,51,5353,False,1
172,21,33,3373,False,2
173,59,59,3632,True,3
175,60,47,3018,True,4
195,25,8,3937,False,5
208,55,63,3093,True,6
212,41,35,2715,False,7
211,48,35,2187,False,8
173,53,48,11391,True,9
175,57,55,4647,True,10
164,12,8,2989,True,11
183,48,68,4175,False,12
203,34,55,2627,False,13
199,40,44,2797,True,14
187,49,39,2169,False,15
208,51,57,3463,True,16
206,45,60,2541,False,17
197,72,83,3439,False,18
181,49,58,2543,False,19
177,17,9,2963,False,20
210,29,18,2821,False,21
185,53,60,2474,False,22
202,30,42,2785,False,23
174,59,66,3439,False,24
188,70,76,2602,False,25
186,86,84,2734,False,26
215,52,67,3126,False,27
165,40,20,3298,False,28
204,41,48,2731,False,29
216,57,57,2464,False,30
164,37,61,2813,True,31
171,51,58,2515,False,32
179,60,57,2816,False,33
191,61,49,2132,False,34
184,66,54,2225,False,35
180,31,48,5419,True,36
166,48,48,2868,False,37
168,28,19,2937,False,38
178,55,76,3470,False,39
182,68,73,2567,False,40
201,51,63,2711,False,41
176,60,65,2458,False,42
205,80,83,2989,False,43
198,57,66,3731,False,44
167,29,6,2903,False,45
169,16,17,2567,False,46
207,76,87,2273,False,47
199,76,83,2454,True,48
180,10,4,3101,True,49
196,76,89,2419,False,50
213,82,86,3231,False,51
189,28,18,11452,False,52
200,72,88,3723,False,53
193,68,78,2677,False,54
170,22,7,2823,False,55
214,67,19,4005,False,56
190,64,82,2618,False,57
194,64,68,2563,False,58
209,76,81,3582,False,59
163,14,40,5669,False,60
