pattern,complexity_response,beauty_response,rt,is_repeated,trial
193,42,69,8817,False,1
181,10,10,7110,False,2
210,41,5,6038,True,3
204,74,11,4777,False,4
205,54,78,5512,False,5
172,6,7,4002,False,6
191,78,81,5471,True,7
184,65,3,7958,False,8
166,21,62,4530,False,9
178,39,79,5666,False,10
197,75,84,5391,False,11
194,86,87,4099,False,12
163,12,35,5992,True,13
199,66,51,3620,False,14
213,53,63,4147,True,15
216,64,22,5544,False,16
201,76,74,3931,False,17
207,77,76,3875,False,18
209,58,44,4674,True,19
175,35,51,3468,False,20
165,13,2,4162,False,21
186,60,70,4234,False,22
164,61,20,6013,False,23
190,75,77,3249,False,24
183,69,79,2806,False,25
169,25,23,8064,False,26
215,55,29,3908,False,27
173,66,71,4116,True,28
168,18,1,6599,False,29
214,62,4,4203,False,30
196,74,89,3957,False,31
209,73,79,3276,True,32
179,68,81,3572,False,33
211,75,9,4427,False,34
210,71,40,4259,True,35
192,69,72,4171,False,36
174,77,75,3253,False,37
212,79,57,3552,False,38
188,63,78,3660,False,39
213,74,80,2982,True,40
189,74,27,3173,False,41
191,63,79,3229,True,42
167,2,0,6032,False,43
200,61,48,4930,False,44
182,71,61,2870,False,45
163,1,55,6503,True,46
176,38,41,3093,False,47
177,39,1,3804,False,48
195,40,1,3389,False,49
180,49,2,3026,False,50
203,66,4,4027,False,51
170,24,6,3891,False,52
198,59,72,3006,False,53
173,63,74,2758,True,54
171,36,1,4323,False,55
208,73,76,4060,False,56
185,68,71,3110,False,57
206,64,80,2723,False,58
187,67,8,2837,False,59
202,75,74,3262,False,60
