pattern,complexity_response,beauty_response,rt,is_repeated,trial
26,74,33,7303,False,1
51,99,67,5343,False,2
32,23,65,7162,False,3
1,1,65,9380,True,4
3,29,69,13429,False,5
13,81,49,9893,False,6
18,40,57,6663,False,7
22,65,66,4340,False,8
12,70,50,5303,False,9
21,38,60,4403,False,10
40,40,72,28807,True,11
54,77,31,6841,False,12
25,73,94,10077,False,13
42,77,77,4649,True,14
11,59,19,19427,True,15
30,62,63,4208,False,16
27,65,50,6608,True,17
34,64,71,4967,False,18
53,91,68,7342,False,19
20,74,65,15949,False,20
7,31,21,4890,False,21
39,69,68,7503,False,22
4,34,11,6154,False,23
33,80,51,5034,False,24
40,72,64,8485,True,25
5,31,48,6922,False,26
41,46,64,45397,False,27
10,50,13,7522,False,28
38,58,72,12903,False,29
24,93,27,6748,False,30
46,69,19,11413,False,31
36,75,60,25207,False,32
42,77,76,4522,True,33
19,75,37,6136,False,34
49,100,16,5303,False,35
11,72,29,5465,True,36
6,67,67,8582,False,37
50,78,44,11089,False,38
14,74,73,4790,False,39
9,31,31,7286,False,40
28,74,72,965748,True,41
52,77,53,6111,False,42
23,72,53,5759,False,43
2,26,15,6602,False,44
44,71,66,9250,False,45
28,76,57,6013,True,46
43,81,55,7011,False,47
16,52,23,6082,False,48
48,56,81,6554,False,49
37,47,74,6469,False,50
17,95,21,9115,False,51
15,88,19,4459,False,52
29,76,76,5861,False,53
45,76,53,6356,False,54
8,69,10,7605,False,55
27,73,20,4951,True,56
1,20,6,16191,True,57
35,68,55,5020,False,58
31,67,32,8283,False,59
47,75,32,13786,False,60
