pattern,complexity_response,beauty_response,rt,is_repeated,trial
178,78,79,10312,False,1
170,67,30,10462,False,2
169,64,12,8426,False,3
175,56,68,7008,False,4
209,78,88,5752,False,5
190,83,95,7110,True,6
196,97,89,7088,False,7
204,77,52,5534,True,8
215,64,36,3475,False,9
187,45,13,3788,False,10
165,26,56,4727,False,11
184,44,18,3821,True,12
214,62,17,4802,False,13
177,24,49,4945,False,14
192,71,76,5509,False,15
197,54,76,5986,False,16
181,44,39,6796,True,17
171,51,52,7783,False,18
172,23,76,5995,False,19
185,71,70,4448,False,20
184,66,21,5015,True,21
190,69,80,4599,True,22
216,67,15,5617,False,23
168,24,54,4515,False,24
167,21,21,4888,False,25
195,56,42,5408,False,26
201,78,68,7407,False,27
176,22,78,5095,False,28
207,94,77,6725,False,29
212,62,32,3061,False,30
181,39,41,4287,True,31
194,25,74,5658,False,32
179,72,78,5486,True,33
191,88,87,4178,False,34
210,74,27,6316,True,35
164,6,22,5221,False,36
208,77,74,26464,False,37
210,66,22,5598,True,38
173,68,83,7743,False,39
202,76,80,5831,False,40
198,68,84,4950,False,41
203,69,25,2480,False,42
205,85,72,3972,False,43
174,69,58,3319,False,44
188,93,93,4459,False,45
206,82,89,27727,False,46
204,71,29,2876,True,47
183,80,92,6607,False,48
193,66,87,5113,False,49
163,11,62,4142,False,50
179,82,94,3738,True,51
213,86,88,19275,False,52
199,90,90,5519,False,53
200,62,77,6135,False,54
211,73,22,3874,False,55
189,47,53,4521,False,56
186,70,69,4547,False,57
180,50,53,6356,False,58
182,41,72,9155,False,59
166,12,34,4703,False,60
