pattern,complexity_response,beauty_response,rt,is_repeated,trial
129,38,41,10391,False,1
119,37,56,4486,True,2
133,61,31,4151,False,3
154,63,40,3159,False,4
137,61,16,5327,False,5
160,67,9,5071,False,6
121,34,42,5079,False,7
136,62,54,5351,False,8
127,38,49,3439,True,9
124,59,33,3679,True,10
125,60,39,2479,False,11
109,39,18,3703,False,12
128,25,5,3663,False,13
139,32,43,3311,False,14
117,36,41,3063,False,15
113,35,20,2999,False,16
161,66,30,4463,False,17
120,64,19,4079,False,18
140,47,52,2975,False,19
135,45,38,2975,False,20
110,29,55,3575,False,21
158,56,25,2655,False,22
162,47,39,1807,True,23
159,68,35,3039,False,24
149,63,33,2239,False,25
119,47,35,1903,True,26
153,60,63,19295,False,27
126,53,33,3103,True,28
155,60,38,2191,False,29
131,57,31,2671,True,30
115,35,15,2871,False,31
131,43,25,3607,True,32
141,56,30,2847,False,33
148,64,38,3439,False,34
123,49,9,3599,False,35
157,61,15,5007,False,36
143,47,22,3567,False,37
146,63,17,3407,False,38
130,45,55,2623,False,39
152,42,57,3271,False,40
156,60,13,3792,False,41
147,57,23,2567,False,42
111,16,36,3583,False,43
132,35,28,6327,False,44
142,34,48,2743,False,45
138,41,39,2119,False,46
112,39,11,3159,False,47
122,48,12,4975,False,48
118,32,11,2551,False,49
126,42,12,2743,True,50
127,42,51,3231,True,51
116,39,24,2183,False,52
150,40,37,2423,False,53
144,38,54,3135,False,54
124,40,16,5999,True,55
151,52,58,6967,False,56
134,46,64,2815,False,57
145,46,52,2110,False,58
114,37,17,3087,False,59
162,63,20,2671,True,60
