pattern,complexity_response,beauty_response,rt,is_repeated,trial
112,38,15,30753,False,1
161,70,3,19764,False,2
153,69,69,30307,False,3
139,15,49,31387,False,4
146,57,45,23735,True,5
131,89,3,22867,False,6
148,73,79,27317,False,7
143,64,57,23361,False,8
109,81,29,34208,False,9
137,97,55,31428,True,10
126,62,43,50127,False,11
119,25,70,19852,False,12
117,31,27,32552,False,13
111,8,65,25939,False,14
130,37,82,29451,False,15
115,96,65,27087,False,16
129,23,23,30116,False,17
145,41,42,10332,False,18
125,85,60,25165,False,19
144,60,80,53245,False,20
133,63,79,17509,False,21
135,56,60,21470,True,22
149,98,80,26895,False,23
159,83,93,33856,False,24
132,76,65,23390,False,25
155,81,87,12853,False,26
136,83,76,13401,False,27
151,77,63,26495,False,28
122,89,45,39265,False,29
150,92,56,13585,False,30
135,68,64,26554,True,31
137,89,70,15695,True,32
124,60,35,30079,True,33
146,61,68,13952,True,34
123,88,62,26030,False,35
128,18,54,27581,False,36
154,68,85,33883,False,37
118,81,96,37941,False,38
127,16,57,16507,False,39
138,57,63,14403,False,40
157,98,34,38627,False,41
134,45,45,24621,True,42
152,74,88,23643,False,43
158,91,57,27467,False,44
142,31,69,24739,True,45
147,75,75,44971,False,46
121,19,63,25633,False,47
124,60,28,31656,True,48
142,37,67,16432,True,49
116,35,63,15778,False,50
114,37,32,35599,False,51
156,96,60,47305,False,52
110,14,86,26316,False,53
120,93,42,59763,False,54
141,85,43,17419,False,55
113,25,59,26891,False,56
134,26,55,23653,True,57
160,97,84,30981,False,58
162,93,62,48095,False,59
140,33,66,26233,False,60
