pattern,complexity_response,beauty_response,rt,is_repeated,trial
136,48,17,8260,False,1
153,23,7,26099,False,2
135,4,56,5407,False,3
137,1,2,5152,False,4
142,87,84,8078,False,5
120,79,10,12693,False,6
160,87,5,6271,False,7
130,16,50,7392,False,8
123,46,2,9410,False,9
140,83,100,6456,False,10
133,13,96,9197,False,11
158,51,7,7873,False,12
138,76,84,7435,False,13
124,16,6,9906,False,14
149,7,1,5500,False,15
157,72,9,6923,True,16
128,4,46,8555,False,17
150,72,6,5807,False,18
134,41,91,4900,False,19
144,21,91,5729,False,20
118,4,1,4438,False,21
162,23,2,4056,False,22
113,1,6,6598,False,23
152,64,86,5274,True,24
115,11,2,4325,False,25
143,51,65,5442,True,26
132,24,54,5225,False,27
131,2,5,3872,False,28
154,69,78,4567,True,29
151,72,77,4851,False,30
139,12,97,6515,False,31
154,11,95,6437,True,32
114,1,15,4404,False,33
121,11,99,5679,False,34
147,84,5,5957,False,35
141,69,12,6608,False,36
152,47,92,25534,True,37
145,83,94,5580,False,38
125,5,14,5340,False,39
156,43,2,6460,False,40
146,64,86,9751,False,41
143,55,86,9779,True,42
116,2,6,6016,False,43
112,4,2,7845,False,44
161,65,2,5690,False,45
155,83,68,8822,False,46
119,11,92,6918,True,47
117,85,94,7497,False,48
122,3,15,6558,False,49
129,14,97,5176,False,50
157,6,10,6048,True,51
127,41,94,8839,False,52
111,37,91,6027,False,53
109,3,1,10475,False,54
148,85,94,6147,True,55
119,11,91,5792,True,56
148,58,94,5764,True,57
126,2,10,4716,False,58
159,92,99,8702,False,59
110,9,77,8987,False,60
