pattern,complexity_response,beauty_response,rt,is_repeated,trial
41,26,8,11666,False,1
44,34,1,8032,False,2
14,34,14,11200,False,3
18,1,1,4183,False,4
50,67,1,5751,False,5
27,84,1,8749,False,6
54,87,19,8416,False,7
7,1,3,5033,False,8
51,89,2,4933,False,9
30,28,3,9533,False,10
33,98,1,11067,False,11
42,10,42,10450,False,12
21,17,26,6152,False,13
52,16,2,6615,False,14
25,6,52,14800,False,15
12,21,40,6699,False,16
37,3,50,13267,False,17
2,73,1,8083,False,18
36,32,0,12034,False,19
13,85,1,6850,True,20
43,84,1,4166,False,21
35,22,1,6383,True,22
29,11,1,7583,False,23
19,17,1,7883,True,24
48,12,1,20218,False,25
31,87,37,9050,False,26
35,20,1,8017,True,27
49,91,1,6133,False,28
11,67,1,7400,False,29
17,66,2,3749,False,30
46,50,1,10617,False,31
9,12,1,7316,False,32
23,17,1,47838,False,33
20,10,1,3999,True,34
22,75,2,4233,False,35
4,1,26,8450,False,36
45,17,1,6183,True,37
32,1,9,6900,False,38
1,0,1,5566,False,39
16,70,1,4099,False,40
5,1,19,9500,False,41
47,81,2,23802,False,42
13,72,1,61323,True,43
19,12,1,4349,True,44
15,87,1,3916,False,45
39,1,1,5333,False,46
28,2,3,3933,False,47
20,1,1,3733,True,48
3,21,1,5633,False,49
24,54,2,5016,False,50
10,44,1,50022,False,51
45,25,2,18285,True,52
6,2,50,5533,False,53
26,20,7,7516,True,54
38,20,1,5466,False,55
26,12,1,3767,True,56
53,99,1,4199,False,57
8,72,1,6800,False,58
34,34,1,4849,False,59
40,16,1,3450,False,60
