pattern,complexity_response,beauty_response,rt,is_repeated,trial
51,79,23,5223,False,1
15,79,3,5430,False,2
53,81,17,6098,False,3
25,29,69,3851,False,4
30,32,78,3464,False,5
16,51,40,18816,True,6
24,46,62,9248,True,7
43,63,31,3900,False,8
13,26,11,3795,True,9
40,20,63,3319,False,10
35,11,84,4652,False,11
21,17,92,4332,False,12
13,25,27,4507,True,13
46,34,35,4377,False,14
29,27,60,10523,False,15
5,2,88,24828,False,16
19,17,91,5635,False,17
31,49,60,4351,False,18
18,19,60,2987,False,19
54,17,52,3546,False,20
34,18,41,4191,False,21
33,58,16,17580,False,22
26,25,52,3212,True,23
32,3,62,3496,False,24
12,17,60,4210,False,25
3,25,58,3990,False,26
49,69,8,4013,False,27
10,2,2,3706,False,28
41,5,52,6131,False,29
16,61,28,3875,True,30
38,34,57,3070,False,31
20,16,36,3262,True,32
22,57,33,4225,False,33
17,79,11,5541,False,34
23,44,61,4135,False,35
8,11,14,4417,False,36
1,9,7,4773,False,37
28,18,82,17434,False,38
27,29,30,3722,False,39
26,24,85,2728,True,40
20,20,20,4279,True,41
47,52,16,3536,False,42
7,12,15,5362,True,43
36,52,77,3713,False,44
14,34,67,2825,False,45
9,25,42,2761,False,46
44,49,80,4788,False,47
48,16,68,23923,False,48
37,17,67,10438,False,49
42,34,67,31379,False,50
45,48,64,3302,False,51
50,67,10,2775,False,52
4,1,45,3067,False,53
52,37,62,5856,False,54
39,6,50,37751,False,55
2,6,7,4515,False,56
7,5,7,6275,True,57
6,16,73,4715,False,58
11,42,11,27922,False,59
24,51,15,3553,True,60
