pattern,complexity_response,beauty_response,rt,is_repeated,trial
150,26,31,14434,False,1
138,8,45,6052,False,2
114,3,7,8062,False,3
141,58,7,5982,False,4
122,5,4,7828,False,5
137,3,5,5261,False,6
118,6,11,6807,False,7
147,49,37,6035,False,8
161,55,44,4793,False,9
162,70,59,3990,False,10
160,64,54,3565,False,11
144,12,74,7815,True,12
115,3,5,4924,False,13
125,24,6,8182,True,14
128,0,89,7978,False,15
130,1,90,4937,True,16
111,2,79,3768,True,17
146,90,89,9784,False,18
157,66,42,5458,False,19
140,97,93,6053,False,20
148,93,87,5597,True,21
117,10,89,9912,False,22
113,3,4,3830,False,23
112,4,3,4065,False,24
136,73,71,7007,True,25
148,86,88,3542,True,26
139,3,87,6451,False,27
132,88,86,5906,False,28
123,5,3,4369,False,29
152,91,92,5237,False,30
120,7,7,3020,False,31
126,68,61,4462,False,32
127,83,82,3417,False,33
143,86,75,3810,False,34
129,9,74,5063,False,35
125,44,26,9244,True,36
116,0,1,7902,False,37
124,27,36,47970,False,38
109,2,6,4294,False,39
159,100,100,6956,False,40
155,99,99,3846,False,41
154,99,79,8354,False,42
110,5,11,6592,False,43
134,17,77,8897,False,44
121,29,49,4638,False,45
133,97,95,4767,False,46
145,41,69,3993,False,47
111,29,75,3330,True,48
149,74,61,4661,False,49
156,77,62,2866,False,50
135,46,39,6086,False,51
144,6,59,8947,True,52
151,98,96,8724,False,53
136,97,98,3304,True,54
130,27,51,4588,True,55
131,15,24,3760,False,56
158,76,54,6372,False,57
119,40,59,18206,False,58
153,92,95,5415,False,59
142,33,80,8858,False,60
