pattern,complexity_response,beauty_response,rt,is_repeated,trial
83,32,46,5886,False,1
104,69,24,4909,False,2
73,46,70,5608,False,3
105,84,20,3703,False,4
80,47,36,6014,False,5
101,39,61,3783,True,6
75,12,63,4518,False,7
65,27,59,4096,False,8
61,56,30,4750,False,9
68,41,55,4614,False,10
101,41,63,4392,True,11
84,8,74,4990,True,12
60,10,71,3383,False,13
97,78,73,4864,False,14
100,68,63,3436,False,15
89,67,78,11918,False,16
96,40,51,3359,True,17
79,22,48,3135,False,18
76,30,41,91854,False,19
77,39,69,4030,False,20
85,25,80,4296,False,21
70,53,40,5806,True,22
84,24,78,3607,True,23
78,39,64,7118,False,24
56,8,22,3320,False,25
108,34,70,8230,False,26
88,58,68,6902,False,27
106,82,61,3735,True,28
86,33,78,21679,False,29
96,41,48,4327,True,30
98,29,79,3694,False,31
91,34,79,3127,True,32
103,87,30,3790,False,33
55,2,55,7519,False,34
67,35,26,6695,False,35
91,39,81,4094,True,36
62,38,65,44318,False,37
74,43,57,3992,False,38
57,16,20,2759,False,39
94,55,62,3183,False,40
69,29,27,3615,False,41
107,75,41,3607,False,42
71,18,51,4639,False,43
59,11,20,3078,False,44
87,47,75,3519,False,45
81,24,77,3206,False,46
102,89,33,3015,False,47
72,42,63,3391,False,48
93,33,71,2590,False,49
63,17,14,3231,False,50
95,74,55,4575,False,51
90,39,64,43374,False,52
82,88,46,2694,False,53
64,35,71,2815,False,54
99,47,69,2935,False,55
106,95,31,2927,True,56
66,28,77,3687,False,57
70,38,56,3166,True,58
58,20,27,3559,False,59
92,19,75,7198,False,60
