pattern,complexity_response,beauty_response,rt,is_repeated,trial
102,53,3,13160,False,1
79,16,5,6263,False,2
81,32,51,17799,False,3
71,31,47,5134,False,4
78,56,40,8327,False,5
84,52,50,9127,False,6
98,59,54,6271,False,7
63,3,3,5286,False,8
68,48,48,6938,False,9
58,5,5,6251,False,10
99,50,49,6583,True,11
60,41,42,5287,False,12
94,56,55,7407,False,13
80,5,5,5823,True,14
73,56,53,4751,False,15
77,18,7,6327,False,16
62,56,52,8110,False,17
89,63,57,5054,False,18
97,14,12,6839,False,19
107,38,6,9879,True,20
82,35,22,5318,False,21
86,57,37,12895,False,22
106,38,20,15593,False,23
66,54,33,3469,False,24
92,53,44,4755,False,25
56,3,3,4429,False,26
67,18,14,4319,True,27
64,35,27,5110,False,28
76,37,29,4759,False,29
91,49,49,4727,False,30
108,55,49,3646,True,31
75,54,50,4494,False,32
74,65,54,3446,False,33
103,11,6,3718,False,34
55,9,15,6862,False,35
80,8,4,4199,True,36
83,71,52,6647,False,37
100,25,12,8150,False,38
67,9,6,5110,True,39
85,57,52,4367,False,40
107,45,28,6200,True,41
59,6,4,3908,False,42
65,13,8,9471,False,43
108,66,56,5289,True,44
101,73,64,5417,False,45
105,23,16,4449,False,46
61,24,16,6742,False,47
70,16,6,6271,False,48
90,32,17,7984,False,49
96,23,14,4862,False,50
99,43,38,3910,True,51
88,57,52,7399,False,52
57,5,1,7749,True,53
93,56,51,3399,False,54
87,61,45,6462,False,55
69,10,6,5206,False,56
72,58,47,6471,False,57
104,30,18,5878,False,58
57,8,3,5206,True,59
95,30,20,4253,False,60
