pattern,complexity_response,beauty_response,rt,is_repeated,trial
171,10,51,16240,True,1
180,3,50,9807,True,2
216,43,58,11992,False,3
211,44,57,7003,False,4
199,49,59,8591,False,5
209,52,69,7503,False,6
207,60,69,5621,False,7
194,12,87,9203,False,8
175,9,93,7804,False,9
171,9,50,10797,True,10
180,14,45,11056,True,11
176,4,83,9212,False,12
170,10,15,8343,False,13
167,9,12,4665,True,14
185,55,78,8736,False,15
173,51,77,9372,False,16
172,16,45,8424,True,17
186,64,78,9548,False,18
190,65,79,5003,True,19
197,64,88,8063,False,20
174,55,74,7064,False,21
169,51,49,9391,False,22
200,56,55,6993,False,23
181,54,60,14355,False,24
184,70,54,12427,False,25
203,78,69,5353,False,26
188,61,78,7072,False,27
193,62,77,6173,False,28
172,6,53,9312,True,29
201,63,80,10133,False,30
163,0,62,9233,False,31
195,61,43,9053,False,32
215,85,40,10133,False,33
196,68,88,6906,False,34
212,89,50,6352,False,35
179,79,68,6296,False,36
183,73,79,6622,False,37
165,8,41,8423,False,38
164,2,46,7018,False,39
182,51,80,9301,False,40
210,93,49,5981,False,41
189,49,56,6804,False,42
191,77,78,24532,False,43
190,71,81,5688,True,44
178,55,65,5318,False,45
167,10,37,5791,True,46
205,83,92,23655,False,47
177,42,51,8063,True,48
208,79,85,8300,False,49
187,71,46,5733,False,50
166,28,85,12698,False,51
213,60,83,7300,False,52
214,67,58,4923,False,53
206,99,80,10244,False,54
192,72,80,9861,False,55
168,12,50,6513,False,56
202,63,58,11123,False,57
198,62,74,17615,False,58
204,95,55,14282,False,59
177,33,50,6906,True,60
