pattern,complexity_response,beauty_response,rt,is_repeated,trial
167,13,47,4351,True,1
216,50,40,4262,True,2
208,33,71,4391,False,3
199,48,73,2743,False,4
201,60,69,4054,False,5
163,3,59,3495,True,6
192,51,59,2943,False,7
179,57,56,3711,False,8
210,58,25,4943,False,9
168,36,56,4447,False,10
211,41,27,3168,False,11
182,25,78,4238,False,12
195,73,66,4335,False,13
164,17,45,8807,False,14
170,29,42,2511,False,15
197,33,62,7207,True,16
206,69,60,4607,True,17
184,49,32,3935,False,18
189,40,45,4607,False,19
204,53,43,3943,False,20
185,78,61,5128,False,21
175,19,75,4847,False,22
203,74,37,2799,True,23
180,36,63,4375,False,24
198,53,69,2815,False,25
216,77,32,2663,True,26
196,59,69,2167,False,27
171,60,47,3655,False,28
181,67,57,3623,False,29
203,72,23,5695,True,30
163,10,73,3503,True,31
169,32,41,4439,False,32
200,53,61,6703,False,33
194,24,53,4647,False,34
183,39,52,2155,False,35
173,59,61,2187,False,36
165,26,45,2167,False,37
205,64,63,2455,False,38
212,61,26,2631,False,39
187,79,31,2911,False,40
215,90,18,2583,False,41
178,87,82,2807,False,42
191,96,89,3543,False,43
186,86,61,3967,False,44
172,15,47,4551,False,45
197,82,61,3303,True,46
202,74,72,4911,False,47
213,74,79,3055,False,48
190,80,74,2919,False,49
206,78,83,2423,True,50
207,83,89,4095,False,51
166,17,65,3575,False,52
167,5,42,2965,True,53
176,84,74,2921,False,54
209,42,71,5295,False,55
188,71,60,3063,False,56
193,72,63,5606,False,57
177,30,42,2007,False,58
214,29,13,1991,False,59
174,64,72,2935,False,60
