pattern,complexity_response,beauty_response,rt,is_repeated,trial
101,35,74,45270,False,1
71,8,49,15033,False,2
78,18,50,19990,True,3
107,50,19,14439,True,4
106,64,12,9317,False,5
87,41,61,17199,False,6
96,60,16,13864,False,7
81,34,77,24657,True,8
61,13,0,18775,False,9
72,43,63,11187,False,10
55,3,11,12085,False,11
75,22,36,8059,False,12
103,50,8,27727,False,13
81,35,67,6504,True,14
62,14,70,7233,False,15
64,33,66,7671,True,16
108,59,89,10628,False,17
58,15,0,9430,False,18
100,68,50,9494,False,19
94,81,68,14652,False,20
57,14,0,9493,False,21
79,44,0,10653,True,22
102,84,19,10917,False,23
68,20,67,7079,False,24
86,50,100,11371,True,25
63,34,0,8594,False,26
79,37,0,11853,True,27
64,42,94,6793,True,28
60,34,72,6071,False,29
69,44,24,10651,False,30
86,49,93,7719,True,31
56,13,0,8369,False,32
70,38,0,12898,False,33
89,59,70,8156,False,34
78,65,50,9645,True,35
74,64,75,7476,False,36
91,78,93,10111,False,37
77,75,4,9078,False,38
97,93,7,8101,False,39
95,85,21,10856,False,40
73,56,76,6210,False,41
98,77,87,7169,False,42
59,22,0,9240,False,43
99,73,81,6783,False,44
65,57,0,9886,False,45
92,64,78,7435,False,46
83,84,90,7164,False,47
107,86,41,10328,True,48
85,65,60,7851,False,49
80,65,1,7206,False,50
84,52,51,7877,False,51
90,73,64,19124,False,52
105,81,27,6710,False,53
67,47,1,7001,False,54
82,50,34,14329,False,55
88,54,67,6637,False,56
76,85,53,7686,False,57
93,71,77,7288,False,58
66,55,48,7070,False,59
104,87,56,7044,False,60
