pattern,complexity_response,beauty_response,rt,is_repeated,trial
156,65,51,11995,False,1
122,45,50,11894,False,2
115,39,42,10382,False,3
160,73,51,9286,False,4
118,34,61,6278,True,5
141,49,49,6887,False,6
113,34,46,5502,False,7
121,54,70,6509,False,8
131,53,45,8870,False,9
147,63,63,9086,False,10
124,36,56,5502,False,11
130,37,68,5726,False,12
110,39,64,5614,False,13
132,50,66,5374,False,14
140,61,65,5933,False,15
144,52,66,5272,True,16
112,32,35,4638,True,17
125,31,49,6182,False,18
126,40,49,5342,False,19
116,17,45,4637,False,20
133,50,68,5183,False,21
137,37,46,4958,False,22
159,49,65,4158,False,23
153,58,71,4741,False,24
119,48,66,5863,False,25
162,54,41,4278,False,26
127,41,66,5022,False,27
138,49,65,4294,False,28
143,51,63,6198,True,29
111,28,56,5410,False,30
112,35,39,5578,True,31
123,31,40,4294,False,32
129,49,65,6806,False,33
136,51,64,5860,False,34
144,61,68,6468,True,35
117,45,62,5254,False,36
148,61,65,6789,True,37
120,18,40,6423,False,38
145,49,64,4534,False,39
128,41,61,6734,False,40
149,49,44,5934,True,41
155,55,57,6774,False,42
134,53,60,5694,False,43
150,51,46,5798,False,44
158,51,44,4221,False,45
139,35,58,4815,False,46
151,55,58,5334,False,47
157,43,44,6037,False,48
152,54,52,8390,False,49
149,31,39,5501,True,50
142,49,65,5798,False,51
146,56,67,4581,False,52
148,52,66,6134,True,53
154,51,66,4525,False,54
161,34,40,5022,False,55
135,50,46,9310,False,56
118,21,35,5822,True,57
143,49,66,5438,True,58
114,21,35,4341,False,59
109,17,24,4973,False,60
