pattern,complexity_response,beauty_response,rt,is_repeated,trial
95,76,34,4624,False,1
83,60,57,4994,False,2
80,20,12,75420,False,3
74,57,80,3620,False,4
76,54,71,3201,False,5
82,11,7,3299,False,6
97,42,45,4330,False,7
84,18,77,24210,False,8
65,15,5,3016,False,9
107,57,21,3001,False,10
96,56,53,3862,False,11
81,41,78,89792,False,12
70,13,6,2678,True,13
86,67,56,3541,False,14
85,58,73,663903,False,15
75,46,83,2896,True,16
104,82,27,2456,False,17
93,73,68,3700,False,18
73,69,77,454841,False,19
98,34,70,3742,False,20
60,16,37,2789,False,21
70,7,7,3007,True,22
71,82,71,5678,False,23
91,41,69,94109,False,24
56,3,6,2257,False,25
102,64,26,2310,False,26
75,50,50,4493,True,27
88,58,51,3243,True,28
66,67,67,49379,False,29
57,9,0,4043,False,30
67,29,5,3856,False,31
99,66,71,3645,False,32
68,43,64,2777,False,33
88,62,59,5327,True,34
105,51,26,3118,False,35
61,0,0,226853,True,36
108,56,65,4791,True,37
69,0,7,5333,True,38
79,16,10,2593,False,39
61,2,4,5193,True,40
78,16,30,3167,False,41
63,8,6,3190,False,42
108,56,49,4924,True,43
106,28,27,37654,False,44
59,2,23,86035,False,45
90,30,56,4582,False,46
100,83,9,5838,False,47
89,77,39,3090,False,48
69,11,1,11922,True,49
103,23,3,4670,False,50
92,87,86,3479,False,51
55,27,39,9991,False,52
101,41,36,2455,False,53
62,29,74,2806,False,54
77,8,1,3364,False,55
64,67,50,2498,False,56
72,42,48,3952,False,57
58,26,15,2745,False,58
94,33,70,2975,False,59
87,80,78,2628,False,60
