pattern,complexity_response,beauty_response,rt,is_repeated,trial
80,29,0,14151,False,1
92,37,20,11526,False,2
56,0,0,9407,True,3
67,7,20,18767,False,4
107,72,33,9663,False,5
85,18,0,13423,True,6
96,51,76,11567,True,7
88,27,0,13439,False,8
95,34,50,24527,False,9
94,100,69,16311,False,10
89,75,50,13255,False,11
104,22,31,15295,True,12
61,0,6,11103,False,13
69,5,0,12727,False,14
63,0,0,7887,False,15
97,48,56,13815,False,16
60,0,0,9423,False,17
78,21,16,11607,False,18
83,49,49,12215,False,19
103,24,9,18023,False,20
72,21,5,12703,False,21
87,72,50,9655,False,22
84,23,27,14783,False,23
102,31,40,37327,False,24
100,46,23,7695,False,25
64,21,21,11503,True,26
79,20,39,10551,False,27
85,22,22,11863,True,28
81,22,13,6831,False,29
93,29,50,9431,False,30
96,49,49,10511,True,31
74,77,50,10143,False,32
58,4,0,8367,False,33
90,11,21,11655,False,34
75,17,29,44759,False,35
73,73,72,8415,False,36
105,70,70,6063,False,37
108,49,40,7959,False,38
64,20,32,6863,True,39
66,24,27,13207,False,40
77,18,7,16791,False,41
55,3,0,7663,False,42
82,19,11,12247,False,43
71,12,3,16415,False,44
65,8,4,9271,False,45
104,44,36,27135,True,46
59,2,9,13727,False,47
101,47,49,8727,True,48
106,51,22,10775,False,49
62,20,52,8071,False,50
76,23,77,9919,False,51
98,10,51,6823,False,52
99,9,50,12335,False,53
101,28,18,11335,True,54
91,36,72,7711,False,55
70,13,0,15351,False,56
86,19,51,9991,False,57
57,2,0,9751,False,58
68,10,13,10567,False,59
56,1,0,7839,True,60
