pattern,complexity_response,beauty_response,rt,is_repeated,trial
71,35,64,5280,False,1
65,57,43,4236,True,2
73,80,75,3488,False,3
94,73,73,2863,False,4
101,77,76,3487,False,5
85,69,75,3893,True,6
61,42,38,3806,False,7
93,79,74,3879,False,8
80,30,28,3165,False,9
59,10,13,3494,False,10
103,51,52,4543,False,11
78,72,68,3326,False,12
74,73,70,2558,False,13
64,75,74,2622,False,14
65,31,31,2581,True,15
105,59,46,3542,False,16
95,64,53,2989,True,17
81,76,70,2951,False,18
68,50,63,3429,True,19
60,28,49,3245,False,20
79,27,23,2719,False,21
83,91,86,4717,False,22
87,82,76,5624,False,23
58,16,13,2741,False,24
68,31,41,2974,True,25
67,16,19,2950,False,26
56,3,8,2558,False,27
96,61,48,4462,True,28
63,25,22,2454,False,29
84,52,54,2678,False,30
100,60,60,3878,False,31
91,81,75,3679,False,32
75,66,58,2317,False,33
66,92,73,3094,False,34
72,66,64,3404,False,35
95,57,40,4126,True,36
88,85,83,2767,False,37
70,23,17,2935,False,38
106,56,43,9164,False,39
96,46,38,3766,True,40
104,68,43,4607,True,41
85,63,72,3286,True,42
90,58,61,29751,False,43
55,19,65,4591,False,44
69,25,31,3015,False,45
89,81,80,4437,False,46
76,66,64,3494,False,47
62,64,69,3407,False,48
102,34,30,5458,False,49
107,56,40,3379,False,50
77,23,16,2991,False,51
99,63,56,2558,False,52
82,42,29,2461,False,53
57,12,15,2910,False,54
86,53,72,3125,False,55
98,75,79,2894,False,56
97,60,32,4439,False,57
104,68,36,4369,True,58
108,75,74,2678,False,59
92,87,84,2716,False,60
