pattern,complexity_response,beauty_response,rt,is_repeated,trial
144,7,80,10659,False,1
136,62,61,8369,True,2
133,67,32,4568,False,3
115,65,42,5665,False,4
162,88,22,5298,False,5
140,36,81,6023,False,6
161,74,23,3380,False,7
156,61,20,3475,False,8
152,52,81,5378,False,9
160,75,22,3985,False,10
127,39,76,4317,False,11
142,55,85,3683,False,12
128,13,48,5340,False,13
117,15,42,8793,False,14
155,45,88,5481,False,15
120,73,24,3531,False,16
118,77,16,4104,True,17
125,68,29,2862,False,18
148,52,81,3602,False,19
150,71,70,4565,False,20
146,71,83,3189,False,21
132,59,89,4197,False,22
159,59,91,3603,False,23
131,78,18,8603,False,24
138,78,98,3658,False,25
110,4,94,5664,False,26
157,69,17,3490,False,27
126,57,42,9017,True,28
124,70,36,4071,False,29
137,63,23,5315,False,30
141,57,22,3117,True,31
119,18,80,7712,False,32
122,64,7,4623,False,33
158,96,50,8121,False,34
116,13,14,4924,False,35
151,82,84,3419,False,36
112,6,7,5425,False,37
147,76,69,4095,False,38
141,73,19,3801,True,39
136,80,84,3658,True,40
145,51,92,3531,False,41
134,65,93,4319,False,42
130,21,84,4589,False,43
118,50,14,4947,True,44
109,58,15,4940,False,45
113,41,1,5059,True,46
123,48,2,4350,False,47
111,6,93,4127,False,48
135,33,74,4319,True,49
143,59,90,3635,False,50
139,29,90,4908,False,51
121,26,92,3006,False,52
149,75,22,4088,False,53
154,77,90,6771,False,54
153,67,84,3157,False,55
113,4,5,5848,True,56
126,35,24,4518,True,57
135,56,38,4900,True,58
129,43,87,4781,False,59
114,6,7,8423,False,60
