pattern,complexity_response,beauty_response,rt,is_repeated,trial
42,34,84,16063,False,1
29,0,84,12093,False,2
37,5,68,10810,True,3
27,24,43,15479,False,4
46,27,48,14349,False,5
53,41,38,10156,False,6
23,41,56,15632,False,7
1,1,0,12108,False,8
34,4,79,7246,False,9
39,5,52,8554,False,10
33,30,34,12017,True,11
31,32,50,11831,False,12
54,51,27,8312,False,13
26,6,36,8235,True,14
44,19,66,11328,False,15
28,16,65,8078,False,16
12,12,60,6541,True,17
33,28,41,7170,True,18
21,18,59,9586,False,19
26,12,60,11164,True,20
8,19,47,6798,False,21
38,15,61,7510,False,22
50,33,22,9959,True,23
36,24,79,13599,False,24
22,41,17,8054,False,25
41,10,54,6661,False,26
17,37,31,13204,False,27
11,3,37,16292,False,28
12,15,50,30896,True,29
43,43,36,20259,False,30
48,44,46,8784,False,31
40,4,69,5204,False,32
2,1,3,6100,False,33
49,54,29,13177,False,34
10,5,5,11244,False,35
18,0,43,7860,False,36
50,54,18,6648,True,37
5,4,74,12527,False,38
52,26,64,7913,False,39
7,0,0,10992,True,40
20,2,76,16172,False,41
14,24,31,10489,False,42
25,10,87,6707,False,43
24,34,22,12877,False,44
7,1,2,8687,True,45
13,14,15,18083,False,46
37,4,46,6578,True,47
30,27,72,6447,False,48
15,55,54,8947,False,49
9,1,42,6885,False,50
19,38,61,11093,False,51
6,1,52,7228,False,52
51,56,35,10234,False,53
3,0,94,9874,False,54
4,1,27,5028,False,55
45,46,53,8536,False,56
32,2,63,5259,False,57
16,37,24,9548,False,58
35,14,62,12212,False,59
47,75,24,13796,False,60
