pattern,complexity_response,beauty_response,rt,is_repeated,trial
110,16,28,7059,False,1
161,55,19,3318,True,2
127,64,60,3371,True,3
140,89,82,2854,False,4
118,24,18,3467,False,5
154,71,39,3188,False,6
152,80,86,4887,False,7
111,44,42,4115,True,8
114,23,20,3891,False,9
123,9,8,2810,True,10
143,75,58,2757,False,11
116,11,6,2760,False,12
124,5,3,2478,False,13
131,37,4,3807,False,14
162,25,5,3252,False,15
121,71,31,2584,False,16
111,80,64,2193,True,17
144,67,62,2986,False,18
155,78,56,5124,False,19
161,77,6,3610,True,20
147,64,16,2857,False,21
136,93,88,3224,True,22
132,78,66,19188,False,23
149,17,33,6460,False,24
119,28,53,2820,False,25
145,70,74,3581,False,26
109,8,6,3330,False,27
153,72,78,4610,False,28
136,86,82,2988,True,29
129,60,41,19840,True,30
159,85,50,2612,False,31
139,49,25,3508,False,32
148,79,72,2769,False,33
125,27,6,4328,False,34
146,80,73,3964,False,35
157,24,7,3454,False,36
151,87,75,2212,False,37
158,50,13,3640,False,38
127,88,74,1948,True,39
137,15,7,3208,False,40
134,64,57,2816,False,41
123,20,13,51983,True,42
138,81,77,3050,False,43
117,84,73,1989,False,44
141,16,9,2231,False,45
156,23,4,2453,False,46
126,47,32,3005,False,47
122,3,2,2594,False,48
120,8,9,3037,False,49
113,20,18,2773,False,50
142,73,66,2593,False,51
112,10,4,2340,False,52
128,71,73,3116,False,53
150,79,7,3058,False,54
129,74,57,2813,True,55
133,81,84,2890,False,56
130,82,72,2440,False,57
135,72,36,4541,False,58
115,28,2,4248,False,59
160,4,9,3567,False,60
