pattern,complexity_response,beauty_response,rt,is_repeated,trial
32,52,70,5399,False,1
29,73,50,3526,True,2
17,34,8,3477,False,3
20,49,8,5618,False,4
48,89,71,3241,True,5
34,52,64,4044,False,6
38,70,32,2718,False,7
42,91,78,9194,False,8
49,75,29,3321,False,9
43,64,18,7690,False,10
27,35,22,3564,False,11
37,71,66,3085,True,12
45,92,76,4780,False,13
40,60,50,3645,False,14
13,51,14,4088,True,15
9,49,12,3285,False,16
28,73,56,4272,False,17
37,59,53,4758,True,18
12,66,64,4412,False,19
26,84,88,4272,True,20
54,68,5,2761,False,21
39,84,61,2731,False,22
18,54,51,3123,False,23
50,77,9,3549,True,24
35,96,80,3314,False,25
7,61,52,3932,False,26
11,48,6,3624,False,27
25,86,64,3387,False,28
6,64,27,4094,False,29
48,84,79,3093,True,30
19,99,90,3815,False,31
51,77,15,2886,False,32
2,30,17,4706,False,33
14,99,50,4095,False,34
52,89,86,3564,False,35
10,52,8,3284,False,36
31,72,19,3218,False,37
46,77,33,4153,False,38
1,1,3,4426,False,39
29,65,50,3866,True,40
3,29,15,4618,False,41
47,79,19,4147,False,42
26,80,65,4469,True,43
13,50,16,3210,True,44
15,70,7,3815,False,45
24,48,10,3086,False,46
44,90,53,2672,False,47
8,35,7,4898,False,48
41,57,51,4035,False,49
30,77,50,4101,False,50
53,75,18,3910,False,51
4,61,70,3432,False,52
5,64,75,4942,False,53
36,85,56,3381,False,54
21,93,75,3254,False,55
33,85,18,2511,False,56
16,55,15,2842,False,57
23,93,65,4182,False,58
50,72,16,3358,True,59
22,53,22,2694,False,60
