pattern,complexity_response,beauty_response,rt,is_repeated,trial
107,59,1,8165,False,1
65,48,31,7146,False,2
99,58,58,7831,False,3
67,37,46,10817,True,4
90,36,50,6649,False,5
92,69,66,5201,True,6
79,37,24,7613,False,7
103,69,51,7509,False,8
59,18,14,6045,False,9
91,71,69,3884,True,10
101,90,75,4621,False,11
58,23,5,7602,False,12
89,81,88,9478,True,13
60,42,33,4904,True,14
102,66,40,5032,False,15
76,71,71,3679,False,16
55,19,63,5041,False,17
75,55,65,6783,False,18
74,79,77,3938,False,19
95,87,63,4853,False,20
89,86,75,5344,True,21
70,26,14,5510,False,22
60,37,24,5007,True,23
82,64,48,5629,True,24
81,48,61,6777,False,25
66,73,82,5538,False,26
62,38,72,4281,False,27
68,65,64,5530,False,28
91,77,78,3665,True,29
85,62,48,5640,False,30
87,86,80,4335,False,31
92,75,91,5360,True,32
69,52,47,4745,False,33
77,21,12,7594,False,34
64,66,70,4450,False,35
86,51,64,4713,False,36
78,64,55,4585,False,37
56,2,7,4615,False,38
108,56,58,3684,False,39
80,36,20,6181,False,40
106,64,40,10500,False,41
73,76,70,5118,False,42
88,76,79,5067,False,43
96,46,59,6230,False,44
93,66,66,4685,False,45
105,52,45,6269,False,46
94,63,74,5361,False,47
100,93,84,4035,False,48
97,95,72,3969,False,49
61,52,33,3993,False,50
98,79,78,3863,False,51
83,87,93,4232,False,52
57,4,6,4307,False,53
104,55,42,5267,False,54
72,55,66,4665,False,55
84,51,61,4544,False,56
67,39,14,9410,True,57
63,2,2,4080,False,58
82,62,49,4165,True,59
71,44,61,5638,False,60
