pattern,complexity_response,beauty_response,rt,is_repeated,trial
215,66,76,9883,False,1
214,73,66,5691,False,2
205,62,81,12249,False,3
182,36,44,5254,True,4
213,44,64,4591,False,5
211,83,71,4662,False,6
210,71,73,3833,True,7
216,61,66,3571,False,8
181,41,54,6634,False,9
188,38,82,4751,False,10
197,37,82,3172,False,11
171,24,36,5564,False,12
172,21,69,7795,False,13
207,87,89,5644,False,14
165,10,31,4112,False,15
176,25,1,6691,True,16
180,31,41,4037,True,17
164,19,1,7938,False,18
198,70,78,4468,False,19
170,29,37,4460,False,20
195,54,37,4443,False,21
201,73,69,6106,False,22
192,75,89,4403,True,23
202,59,88,4151,False,24
192,75,87,3614,True,25
177,42,51,7323,False,26
189,30,43,6121,False,27
196,53,92,4419,False,28
199,57,73,4866,False,29
175,38,98,7770,False,30
186,52,87,3379,False,31
204,83,76,4442,False,32
194,43,68,3769,False,33
183,59,69,3891,True,34
187,74,63,3655,False,35
173,48,72,3558,False,36
208,71,79,2990,False,37
167,18,52,3268,False,38
210,90,76,4021,True,39
212,89,88,3260,False,40
168,23,16,4760,False,41
176,39,16,4371,True,42
163,1,23,8556,False,43
193,42,75,5903,False,44
200,57,49,4727,False,45
166,13,32,4338,False,46
203,89,90,3981,False,47
185,65,80,3088,False,48
179,89,98,4379,False,49
183,92,91,4418,True,50
191,100,100,6423,False,51
182,37,53,3414,True,52
206,100,100,11033,False,53
169,28,15,6170,False,54
178,100,100,5028,False,55
184,52,27,11272,False,56
174,28,65,4413,False,57
209,36,68,3703,False,58
180,49,49,3964,True,59
190,63,81,4499,False,60
