pattern,complexity_response,beauty_response,rt,is_repeated,trial
43,73,31,7754,False,1
45,70,83,5600,False,2
2,23,20,4251,True,3
24,43,27,3950,False,4
40,56,87,6202,False,5
36,90,90,3438,False,6
21,60,89,5492,False,7
46,64,75,4191,False,8
4,31,86,3949,False,9
53,67,58,6102,False,10
32,63,91,3724,False,11
28,72,94,2640,True,12
50,43,36,3438,False,13
15,42,28,4556,False,14
18,77,90,2718,False,15
7,40,88,3980,False,16
22,65,36,5565,False,17
44,81,89,3271,False,18
51,60,35,4388,False,19
11,36,21,3201,False,20
41,50,89,3210,False,21
48,68,89,3482,False,22
28,66,86,2626,True,23
14,69,86,3279,False,24
1,6,8,4004,False,25
39,54,86,3475,False,26
29,65,95,3107,False,27
26,82,96,2610,False,28
19,88,94,2827,False,29
9,82,95,2361,False,30
16,66,23,3660,False,31
5,47,89,3507,False,32
31,70,54,4418,False,33
27,69,57,3520,False,34
37,79,92,4452,False,35
54,66,25,4681,False,36
35,90,93,3614,False,37
2,29,16,2804,True,38
3,33,70,3950,True,39
17,65,30,4987,False,40
30,81,88,3419,False,41
34,80,87,9534,False,42
52,88,96,2944,True,43
3,30,85,3685,True,44
12,90,93,3114,False,45
42,89,92,2556,False,46
6,95,97,3217,True,47
13,66,31,3390,False,48
33,64,46,5524,True,49
47,64,44,3702,False,50
25,76,89,5401,False,51
52,91,92,4253,True,52
6,94,96,3468,True,53
49,69,32,5018,False,54
38,85,92,2732,False,55
23,88,94,2577,False,56
10,31,13,3325,False,57
33,71,28,2993,True,58
20,72,29,11721,False,59
8,58,19,4612,False,60
