pattern,complexity_response,beauty_response,rt,is_repeated,trial
69,26,15,242159,False,1
76,51,41,4132,False,2
98,56,55,6375,False,3
56,2,0,4838,False,4
65,46,32,27468,False,5
106,52,39,7513,False,6
92,46,58,4896,True,7
86,47,64,4121,False,8
85,55,50,22368,True,9
92,53,53,4744,True,10
100,49,39,9732,False,11
61,28,11,5364,False,12
85,49,49,13712,True,13
58,1,0,5763,True,14
87,47,54,4095,False,15
83,48,40,36058,False,16
102,38,40,3919,False,17
60,48,46,7391,False,18
70,24,1,3473,False,19
94,68,60,47551,False,20
104,59,29,3814,False,21
64,50,40,3793,False,22
81,50,43,4476,False,23
88,34,14,4524,False,24
84,61,49,3305,True,25
95,44,34,3377,True,26
93,47,47,3337,False,27
80,31,7,3999,False,28
97,29,7,4536,False,29
63,25,8,4635,False,30
96,47,44,14139,False,31
67,32,13,3249,False,32
72,63,50,81141,False,33
101,72,56,4673,True,34
59,32,13,89821,False,35
77,25,2,3595,False,36
101,65,54,4691,True,37
89,73,80,4451,False,38
90,51,42,9373,False,39
105,41,31,8770,False,40
62,53,48,4029,False,41
108,73,62,10774,False,42
82,28,13,3421,False,43
107,55,44,4327,False,44
78,64,39,33584,False,45
55,0,1,8148,False,46
99,61,45,36229,False,47
74,75,58,4355,False,48
103,38,11,4249,False,49
71,67,41,17489,False,50
95,46,23,17476,True,51
91,63,43,5382,False,52
79,38,15,9486,False,53
75,40,21,3906,False,54
57,13,5,6144,False,55
66,49,40,16775,False,56
58,28,7,3240,True,57
73,50,18,4499,False,58
68,44,16,29485,False,59
84,76,60,11189,True,60
