pattern,complexity_response,beauty_response,rt,is_repeated,trial
113,51,18,11761,False,1
144,66,66,10007,False,2
158,76,69,7484,False,3
124,50,61,8268,False,4
131,38,49,4453,False,5
135,36,24,4595,True,6
141,45,29,6404,False,7
123,27,22,4940,True,8
129,48,95,9592,False,9
122,32,3,5261,False,10
140,76,97,7560,False,11
162,61,38,11189,False,12
132,78,88,6652,False,13
138,75,87,2883,False,14
117,36,82,13347,False,15
157,40,16,5816,False,16
116,6,7,3850,False,17
136,90,97,5697,False,18
148,55,85,5382,False,19
109,11,3,3128,True,20
142,56,82,3602,False,21
155,78,95,4893,True,22
151,86,95,3772,False,23
146,86,93,5370,False,24
156,39,18,5428,False,25
133,75,82,4314,False,26
114,19,8,12240,False,27
150,81,93,4132,False,28
111,17,76,4182,False,29
145,66,95,3825,False,30
120,41,29,9224,False,31
143,74,93,31721,False,32
119,11,95,8723,False,33
127,30,76,3023,False,34
153,66,89,3932,False,35
154,88,73,4831,True,36
159,90,96,3216,False,37
115,27,10,4081,False,38
147,75,89,4492,False,39
137,66,30,2866,False,40
155,87,89,2899,True,41
109,17,2,3962,True,42
112,8,21,6739,False,43
152,83,91,3209,False,44
125,61,62,5752,True,45
128,10,75,5372,False,46
121,64,86,4079,False,47
161,76,70,5565,False,48
130,22,94,4196,False,49
160,74,27,3436,False,50
126,58,68,6831,False,51
139,14,85,3164,False,52
110,25,95,4870,False,53
154,69,82,6462,True,54
149,61,63,2921,False,55
118,22,24,3948,False,56
123,18,10,3331,True,57
125,40,27,2917,True,58
135,27,27,7708,True,59
134,72,90,3388,False,60
