pattern,complexity_response,beauty_response,rt,is_repeated,trial
17,59,1,10271,True,1
31,29,28,6269,True,2
24,28,17,4458,False,3
18,23,47,5562,False,4
19,43,45,4795,False,5
16,21,17,5715,False,6
44,64,54,3801,True,7
49,57,39,6073,False,8
38,49,59,3961,True,9
39,38,46,4248,False,10
30,55,56,3416,False,11
10,16,19,4154,False,12
44,53,56,4225,True,13
11,1,3,4289,False,14
47,58,3,4191,True,15
8,2,4,4018,False,16
40,49,49,4364,False,17
42,73,72,4407,False,18
12,53,51,4438,False,19
14,78,65,3382,False,20
6,64,99,5031,False,21
3,25,3,4223,False,22
25,37,98,4958,False,23
9,27,44,4572,False,24
7,1,1,4897,False,25
35,83,83,5513,False,26
52,72,73,3602,True,27
26,87,89,5868,False,28
46,30,31,3712,False,29
17,29,2,4570,True,30
51,35,1,3649,False,31
32,54,54,3728,False,32
38,59,53,4129,True,33
20,44,37,3435,False,34
33,48,2,3609,False,35
54,41,17,6964,False,36
37,66,62,4257,False,37
23,63,58,3536,False,38
47,64,20,3406,True,39
48,70,73,4001,False,40
15,12,12,3753,False,41
41,21,22,4857,False,42
52,83,66,5702,True,43
53,26,9,4274,False,44
21,62,76,3729,False,45
5,36,69,3978,False,46
28,65,74,4865,False,47
43,3,3,4005,False,48
1,1,2,4030,False,49
50,36,1,5462,False,50
29,65,79,4730,False,51
13,2,3,3556,False,52
4,2,71,4538,False,53
34,78,74,4089,False,54
22,1,2,3834,False,55
2,2,1,3562,False,56
27,28,2,4257,False,57
31,59,21,4633,True,58
36,48,48,3923,False,59
45,48,49,3161,False,60
