pattern,complexity_response,beauty_response,rt,is_repeated,trial
54,70,17,8282,False,1
13,55,45,9787,False,2
5,18,58,7923,True,3
38,57,54,6370,False,4
16,55,34,9028,False,5
25,42,79,9811,False,6
44,54,54,7689,False,7
15,55,44,10966,False,8
31,64,42,7525,False,9
47,59,46,5611,True,10
42,68,58,15106,False,11
8,41,42,6447,False,12
51,59,39,7093,False,13
22,57,43,8639,False,14
33,55,45,3945,False,15
20,41,60,6076,False,16
26,47,53,6407,False,17
45,60,57,7416,False,18
40,43,59,4874,False,19
27,48,48,5702,False,20
37,43,54,8758,False,21
18,41,56,9424,False,22
35,39,57,9442,False,23
41,44,46,9672,False,24
50,64,64,8745,True,25
12,38,63,3476,False,26
23,61,55,8181,True,27
4,31,52,10302,False,28
10,56,30,6254,True,29
52,53,61,5966,False,30
46,54,44,3453,False,31
11,54,48,7086,False,32
50,60,61,5783,True,33
30,55,55,4813,False,34
2,43,36,4598,False,35
7,53,46,7910,True,36
3,43,44,7751,False,37
32,46,56,4267,False,38
5,42,55,3830,True,39
29,55,58,4455,False,40
28,54,55,3629,False,41
34,40,56,4653,False,42
7,48,46,6798,True,43
19,59,53,5510,False,44
49,64,46,8014,False,45
23,58,52,6712,True,46
39,51,53,7464,False,47
10,54,32,5617,True,48
14,54,56,12007,False,49
36,52,54,2830,False,50
24,52,43,4712,False,51
53,60,37,4780,False,52
21,43,45,12119,False,53
43,56,39,4117,False,54
47,55,50,7934,True,55
9,37,47,6037,False,56
17,54,39,3478,False,57
48,49,57,4598,False,58
1,27,24,6430,False,59
6,20,39,4327,False,60
