pattern,complexity_response,beauty_response,rt,is_repeated,trial
210,66,29,10491,True,1
209,86,77,4906,True,2
194,22,85,6333,False,3
204,91,82,5129,False,4
202,75,67,6663,False,5
173,72,89,6099,False,6
209,88,74,8701,True,7
182,39,88,7195,False,8
191,95,90,4407,False,9
190,70,83,4655,False,10
179,90,98,10171,False,11
181,87,65,4533,False,12
170,50,26,7903,False,13
185,80,71,4599,False,14
164,13,8,5279,False,15
213,81,71,4699,False,16
174,78,72,4161,False,17
172,29,16,5577,True,18
186,80,72,3655,False,19
171,61,32,6667,False,20
169,25,8,7509,False,21
172,24,7,3933,True,22
192,92,71,3611,True,23
175,80,23,11615,False,24
199,95,54,4523,False,25
200,87,64,3555,True,26
207,98,93,13031,False,27
200,92,74,7035,True,28
168,22,14,4651,False,29
166,72,91,7715,False,30
216,89,64,14403,False,31
196,86,100,6445,True,32
201,96,96,3807,False,33
188,89,86,6637,False,34
215,74,41,4579,False,35
189,33,19,7745,False,36
193,82,72,10601,False,37
210,38,31,5467,True,38
184,20,6,4321,False,39
176,69,85,3701,False,40
180,33,13,4125,False,41
214,70,31,5511,False,42
167,31,21,19987,False,43
203,66,76,4105,False,44
206,93,70,3399,False,45
196,83,90,4053,True,46
187,44,22,4141,False,47
212,55,23,4315,False,48
205,95,91,3299,False,49
177,30,17,4835,False,50
183,84,92,4397,False,51
192,97,85,3323,True,52
211,62,19,4287,False,53
197,88,80,3277,False,54
165,35,26,3323,False,55
195,37,23,10127,False,56
178,79,66,2883,False,57
198,84,73,3299,False,58
163,13,59,5213,False,59
208,86,74,3575,False,60
