pattern,complexity_response,beauty_response,rt,is_repeated,trial
115,51,30,19056,False,1
145,44,55,12652,False,2
113,20,17,9937,False,3
114,53,44,8410,True,4
155,53,58,10567,True,5
126,66,59,8614,True,6
116,16,16,7914,False,7
119,33,65,12710,False,8
130,34,50,7018,False,9
111,31,69,5998,False,10
134,76,34,6145,False,11
135,81,26,7892,False,12
123,74,12,9099,False,13
122,83,13,8753,False,14
121,64,65,14694,False,15
162,89,8,7882,False,16
141,77,15,6903,False,17
118,71,54,9143,False,18
151,86,30,6354,False,19
129,57,51,9935,False,20
152,88,52,9776,False,21
154,83,40,10446,False,22
140,70,64,7208,False,23
143,65,64,6711,False,24
114,30,30,9092,True,25
125,51,33,7067,False,26
137,81,22,8242,False,27
153,73,58,10313,False,28
139,39,37,10070,True,29
149,81,43,7512,False,30
139,28,31,8083,True,31
127,51,50,8608,True,32
150,76,20,6659,False,33
128,44,43,11883,False,34
112,57,13,13424,False,35
133,77,20,10697,False,36
142,70,56,7460,True,37
147,68,40,9132,False,38
117,66,63,12193,False,39
156,86,10,9002,False,40
159,77,52,8465,False,41
157,85,10,6451,False,42
131,74,6,7805,False,43
142,71,53,7311,True,44
144,46,41,10621,False,45
127,64,53,7737,True,46
126,42,47,7660,True,47
120,79,20,8080,False,48
160,83,18,6046,False,49
148,76,25,8321,False,50
146,77,55,9437,False,51
138,78,57,7999,False,52
136,81,68,6898,False,53
158,81,9,6365,False,54
132,75,15,10584,False,55
161,83,8,7203,False,56
109,25,23,10377,False,57
110,24,49,8138,False,58
124,55,15,9693,False,59
155,80,31,9753,True,60
