pattern,complexity_response,beauty_response,rt,is_repeated,trial
129,15,49,5633,True,1
157,85,4,4618,False,2
162,82,4,3766,False,3
145,36,33,7167,False,4
131,28,12,4224,True,5
152,81,73,4205,False,6
149,79,30,5125,True,7
150,80,21,3775,False,8
149,79,25,2748,True,9
111,20,49,5143,False,10
142,50,58,3863,True,11
156,81,27,3105,False,12
129,18,16,3923,True,13
110,28,44,4721,False,14
148,70,67,3821,False,15
123,77,30,4679,False,16
155,92,75,3295,False,17
161,86,41,3351,False,18
109,20,2,5799,False,19
153,52,71,3459,True,20
119,29,41,6814,True,21
159,76,58,3367,False,22
120,49,2,3978,False,23
126,41,26,4680,False,24
133,61,48,2959,False,25
112,15,5,3452,False,26
116,15,12,2826,False,27
141,69,12,2615,False,28
119,11,56,5665,True,29
124,27,8,4811,False,30
138,68,36,3293,False,31
131,32,1,5642,True,32
136,88,30,8199,False,33
160,76,28,3694,False,34
118,43,4,3696,False,35
143,69,7,3523,False,36
137,48,12,3766,False,37
147,74,17,2983,False,38
113,17,14,2910,False,39
158,77,17,3550,False,40
122,51,14,3431,False,41
114,21,6,4162,False,42
121,34,32,4261,False,43
144,70,60,6898,False,44
132,80,57,4005,False,45
128,28,43,4049,False,46
140,62,49,2836,False,47
127,31,23,5818,False,48
153,57,22,2117,True,49
134,59,22,2871,False,50
130,18,35,8381,False,51
151,79,50,4146,False,52
125,28,1,5146,False,53
139,38,49,4861,False,54
146,64,51,3449,False,55
142,48,51,2683,True,56
115,10,6,2786,False,57
117,18,6,2984,False,58
154,71,20,5039,False,59
135,73,46,5209,False,60
