pattern,complexity_response,beauty_response,rt,is_repeated,trial
10,9,19,6349,False,1
28,50,84,6473,False,2
42,64,64,5974,False,3
54,58,11,5134,False,4
8,6,4,6006,True,5
7,1,4,4021,False,6
47,27,4,3593,False,7
16,24,18,52216,False,8
33,49,39,6621,False,9
13,34,20,8251,False,10
51,65,61,4831,False,11
41,65,58,5406,False,12
38,76,44,7531,True,13
48,78,79,4005,False,14
21,59,50,5139,True,15
17,33,13,5966,False,16
15,27,7,3382,False,17
31,58,58,45912,False,18
44,64,89,3714,False,19
36,94,76,3798,False,20
40,59,38,5912,False,21
4,7,27,3592,False,22
49,36,24,3172,True,23
34,35,67,7170,False,24
18,34,53,3625,True,25
23,69,79,5843,False,26
35,55,57,3724,False,27
14,78,66,4529,False,28
9,30,45,8310,False,29
49,47,33,4263,True,30
50,30,9,4254,False,31
8,9,3,4681,True,32
3,24,12,4842,False,33
22,27,9,6755,False,34
26,52,35,4023,False,35
6,70,52,3142,False,36
45,75,68,5886,False,37
43,63,33,8813,False,38
19,58,49,6629,False,39
20,73,35,4425,True,40
39,81,42,6497,False,41
53,40,19,5876,False,42
12,60,29,3775,False,43
20,61,29,3629,True,44
27,45,26,4145,False,45
1,2,1,4624,False,46
21,55,44,6510,True,47
18,56,33,7128,True,48
5,53,36,3381,False,49
52,64,44,10693,False,50
11,39,13,4071,False,51
25,72,47,6880,False,52
32,62,47,10478,False,53
30,78,80,7159,False,54
2,26,6,7329,False,55
46,73,64,6357,False,56
37,84,56,4188,False,57
24,58,27,3592,False,58
29,92,80,6040,False,59
38,92,80,2908,True,60
