pattern,complexity_response,beauty_response,rt,is_repeated,trial
125,20,13,9423,True,1
111,14,49,8781,False,2
117,22,53,6463,False,3
118,24,13,6959,False,4
120,38,15,6551,True,5
155,62,55,10695,False,6
115,10,12,6319,True,7
138,63,66,7575,True,8
119,16,59,5743,False,9
123,18,11,6383,False,10
114,12,6,5423,False,11
115,14,15,5631,True,12
127,42,56,8631,False,13
137,35,22,5887,False,14
158,74,25,8207,False,15
132,51,62,7703,False,16
144,51,73,5775,False,17
159,75,65,9159,False,18
122,25,16,4280,False,19
135,38,23,5326,False,20
133,52,63,9455,False,21
151,65,72,7679,False,22
142,47,58,7879,False,23
126,18,31,8239,False,24
149,67,55,16191,False,25
139,43,78,5959,True,26
136,77,74,6903,False,27
134,55,60,5871,False,28
125,30,17,5015,True,29
143,55,73,6255,False,30
140,70,61,10855,False,31
109,6,2,6927,True,32
112,16,6,5703,False,33
161,64,17,8983,False,34
152,79,66,6767,False,35
116,8,2,6520,False,36
109,9,3,4511,True,37
154,82,73,7024,False,38
148,70,59,9023,False,39
157,74,45,7111,False,40
131,46,30,5119,False,41
146,70,78,6631,False,42
124,15,4,6887,False,43
120,28,9,6383,True,44
130,57,79,8040,False,45
160,61,21,7999,False,46
141,45,17,7807,False,47
139,31,62,7767,True,48
156,56,29,6655,False,49
138,53,73,6799,True,50
153,65,79,9335,False,51
110,15,56,11263,False,52
150,68,31,7887,False,53
129,18,55,7815,False,54
113,6,14,7511,False,55
162,75,30,7263,False,56
121,41,51,6119,False,57
145,48,63,7879,False,58
147,68,33,8271,False,59
128,27,64,6471,False,60
