pattern,complexity_response,beauty_response,rt,is_repeated,trial
34,51,67,6222,False,1
39,57,50,5822,False,2
28,53,50,5941,True,3
18,56,55,5830,False,4
9,39,52,4652,False,5
44,62,43,4295,True,6
52,57,43,3567,True,7
1,60,60,9401,False,8
32,65,65,5966,False,9
35,79,38,4375,False,10
16,85,72,6774,False,11
42,81,62,3907,True,12
20,80,68,6478,False,13
47,76,55,4017,False,14
49,75,49,3499,False,15
15,73,47,3171,False,16
3,77,77,4391,False,17
2,75,53,5394,False,18
13,68,68,5516,True,19
31,69,66,4529,False,20
40,66,65,3312,False,21
21,67,45,3685,False,22
23,74,73,3457,False,23
8,60,45,3948,False,24
26,62,62,3685,False,25
43,76,41,3049,False,26
4,49,61,8258,False,27
51,63,55,3014,False,28
45,70,69,4260,False,29
27,72,67,4607,False,30
41,60,60,3590,False,31
28,62,61,2968,True,32
46,74,74,3928,False,33
50,82,36,4214,False,34
30,75,74,3983,False,35
19,76,62,4075,False,36
38,68,70,4220,False,37
10,74,54,6503,False,38
14,74,40,3000,False,39
7,67,43,3639,False,40
37,68,68,3328,False,41
33,70,58,2711,False,42
12,72,69,3955,False,43
52,69,65,3846,True,44
5,30,67,3847,True,45
6,47,35,6143,False,46
24,66,63,3147,False,47
54,66,64,3217,False,48
22,65,55,3514,False,49
13,53,59,4059,True,50
53,61,58,2911,False,51
25,59,67,4032,False,52
29,42,57,4898,False,53
36,64,64,3776,False,54
17,69,63,4945,False,55
42,67,60,3293,True,56
48,68,67,2766,False,57
11,66,60,4864,False,58
5,61,63,3639,True,59
44,68,67,3705,True,60
