pattern,complexity_response,beauty_response,rt,is_repeated,trial
130,12,73,6323,False,1
149,69,18,4442,False,2
141,32,15,5563,False,3
137,21,27,4622,False,4
127,5,90,4811,True,5
155,76,96,4225,False,6
162,74,30,4861,False,7
146,7,91,4749,False,8
113,19,76,3863,True,9
117,44,95,3415,False,10
152,88,94,4507,False,11
110,52,100,4251,True,12
158,91,11,5129,False,13
124,18,44,3459,False,14
135,82,19,3619,False,15
111,13,94,3741,False,16
147,70,79,4383,False,17
136,12,97,5435,False,18
123,90,0,3909,False,19
121,49,28,3989,False,20
161,86,32,3241,False,21
133,41,98,4761,True,22
119,5,98,5099,False,23
112,90,19,4433,False,24
140,35,95,5587,False,25
125,97,3,4523,False,26
148,57,86,2915,True,27
151,37,91,3014,False,28
139,5,93,3503,False,29
153,34,88,4265,False,30
154,50,68,3913,False,31
132,54,67,2729,False,32
127,9,96,4093,True,33
120,24,4,3256,False,34
148,57,52,3545,True,35
156,96,19,4253,False,36
126,19,71,4619,False,37
131,96,5,3917,False,38
160,1,96,2747,True,39
144,12,92,3575,False,40
133,9,93,3389,True,41
159,39,85,3499,False,42
116,98,4,3949,False,43
122,92,37,3181,False,44
134,35,96,3887,False,45
142,12,89,2445,False,46
145,15,93,2955,False,47
157,25,95,3038,False,48
129,9,96,3299,False,49
118,46,13,2859,False,50
114,77,46,3541,False,51
110,26,96,4649,True,52
115,96,18,3191,False,53
138,45,77,3011,False,54
143,44,73,2309,False,55
150,97,7,3475,False,56
160,96,3,3179,True,57
109,46,27,5391,False,58
128,52,27,3989,False,59
113,31,59,3415,True,60
