pattern,complexity_response,beauty_response,rt,is_repeated,trial
98,48,88,35974,False,1
106,84,13,8697,False,2
77,69,7,9068,False,3
66,14,51,9871,True,4
90,15,65,9734,True,5
55,0,50,9955,False,6
91,83,92,10958,True,7
69,7,1,7575,False,8
81,30,74,10211,False,9
60,17,64,11778,False,10
76,84,90,7519,False,11
59,0,0,10976,False,12
61,0,0,6615,False,13
101,100,0,27773,False,14
105,86,0,7115,False,15
94,82,100,16072,False,16
103,100,0,10441,True,17
80,0,0,7167,False,18
67,0,0,13135,True,19
72,25,0,8680,False,20
67,26,0,15600,True,21
104,100,0,8949,True,22
87,100,100,9249,False,23
88,51,100,13061,False,24
65,0,0,8157,False,25
96,100,0,10440,False,26
92,0,100,8662,False,27
83,100,100,6643,False,28
62,0,100,14747,False,29
107,100,0,9685,False,30
95,100,0,32468,False,31
71,0,100,12181,False,32
108,100,100,9394,False,33
74,100,100,30709,False,34
102,100,0,9409,False,35
93,100,0,6554,False,36
66,0,100,7446,True,37
68,0,83,11654,False,38
75,0,84,10639,False,39
90,0,0,16325,True,40
58,0,0,6646,False,41
104,100,0,7322,True,42
85,51,90,12050,False,43
56,0,0,5890,False,44
103,100,0,11380,True,45
86,100,0,7056,False,46
79,0,0,8085,False,47
73,100,100,9937,False,48
84,100,100,12050,False,49
57,0,0,5515,False,50
78,100,100,9580,False,51
70,0,0,6155,False,52
99,100,100,8326,False,53
64,0,100,12269,False,54
100,100,100,11674,False,55
91,100,90,12268,True,56
97,100,64,8666,False,57
89,76,100,8812,False,58
63,0,0,6736,False,59
82,86,0,7589,False,60
