pattern,complexity_response,beauty_response,rt,is_repeated,trial
64,15,23,7489,True,1
104,36,3,5273,False,2
59,11,68,5488,False,3
94,56,49,7065,False,4
108,46,48,5959,False,5
105,62,16,6110,False,6
106,55,20,5082,True,7
75,23,22,6918,False,8
73,48,58,3990,False,9
93,53,73,5466,True,10
56,5,38,4725,True,11
83,56,51,5374,False,12
85,49,77,4061,False,13
96,50,77,4925,False,14
98,48,48,3598,False,15
67,51,27,9224,False,16
90,50,82,5893,False,17
107,84,10,4229,False,18
56,9,25,5028,True,19
71,30,44,7256,False,20
81,30,72,3508,False,21
70,62,42,4983,False,22
64,30,51,7919,True,23
84,14,33,3577,True,24
99,46,68,4497,False,25
93,71,54,3992,True,26
63,4,6,4971,False,27
100,70,39,8605,False,28
61,3,2,5444,False,29
76,27,37,3869,False,30
88,22,25,7964,False,31
82,49,21,4948,True,32
84,18,27,5556,True,33
87,63,58,8256,False,34
101,62,52,5668,False,35
62,2,63,4543,False,36
89,64,28,6355,False,37
68,19,29,5072,False,38
102,0,0,4701,False,39
58,0,74,7593,False,40
103,1,2,3699,False,41
65,0,12,6186,False,42
74,3,50,3486,False,43
79,0,3,7851,False,44
82,28,38,7367,True,45
55,1,4,3565,False,46
80,23,1,6961,False,47
60,29,41,3981,False,48
86,44,17,11002,False,49
97,41,6,4441,False,50
69,17,0,4622,False,51
106,43,9,8931,True,52
95,42,4,4217,False,53
77,3,7,4172,False,54
78,23,50,4847,False,55
57,0,0,4892,False,56
91,45,48,4419,False,57
66,30,29,5691,False,58
72,36,37,3542,False,59
92,5,47,4116,False,60
