pattern,complexity_response,beauty_response,rt,is_repeated,trial
97,69,31,6082,False,1
87,85,85,4788,False,2
72,55,75,4177,False,3
64,68,80,4324,False,4
106,67,25,5622,True,5
95,78,48,5684,True,6
60,32,72,5273,False,7
71,6,80,5085,False,8
78,70,54,6291,False,9
62,50,86,7069,False,10
56,18,18,5016,True,11
79,56,34,5534,False,12
101,85,84,5419,False,13
75,55,83,4800,False,14
99,81,56,3736,False,15
65,51,25,4661,False,16
80,53,27,5631,False,17
103,92,28,5683,True,18
81,62,81,5109,False,19
56,22,21,4494,True,20
74,66,55,5092,True,21
63,28,17,5012,False,22
100,78,53,8293,False,23
77,38,13,6026,False,24
73,73,73,6272,False,25
57,14,6,6063,False,26
59,20,27,8265,False,27
85,51,64,3944,False,28
61,25,25,6895,True,29
89,65,50,8816,False,30
88,63,74,5703,False,31
82,15,16,4877,False,32
104,85,23,5613,False,33
58,15,30,4910,False,34
68,51,60,6600,False,35
103,90,20,4359,True,36
67,22,21,5710,False,37
92,75,74,5954,False,38
70,11,5,3881,False,39
83,89,63,4849,False,40
91,50,72,4669,False,41
106,88,19,4012,True,42
86,54,66,4831,False,43
69,49,12,5450,False,44
98,51,75,5643,False,45
105,95,12,4430,False,46
55,11,35,8252,False,47
96,55,13,7032,False,48
102,86,16,4849,False,49
74,59,50,5624,True,50
93,75,49,6010,False,51
107,91,13,4448,False,52
94,93,60,3888,False,53
76,83,51,6723,False,54
108,82,61,7025,False,55
90,61,42,4790,False,56
66,83,50,7600,False,57
95,90,18,4292,True,58
84,30,79,4869,False,59
61,51,15,5238,True,60
