pattern,complexity_response,beauty_response,rt,is_repeated,trial
135,52,64,6830,True,1
122,18,24,4195,False,2
144,51,76,4204,False,3
118,17,25,3082,False,4
112,29,22,2618,False,5
132,54,43,4271,False,6
151,63,62,4483,False,7
123,34,27,3872,False,8
134,73,74,2401,False,9
147,51,35,3132,True,10
121,59,63,4068,False,11
113,25,32,3855,False,12
120,34,33,2063,False,13
137,45,36,2400,False,14
115,40,33,2435,False,15
129,56,82,2934,False,16
146,58,78,2847,False,17
149,28,30,2019,False,18
142,75,82,2718,False,19
114,26,34,2783,False,20
119,51,67,2102,False,21
110,32,69,3251,True,22
160,23,22,3384,False,23
148,67,34,3232,False,24
157,47,34,3972,False,25
154,76,43,2468,False,26
138,69,74,2416,False,27
140,62,77,4726,False,28
152,77,79,4167,False,29
162,63,27,3300,True,30
145,70,74,1966,False,31
136,79,83,2853,False,32
110,25,89,2818,True,33
147,58,30,3500,True,34
111,22,79,3837,False,35
153,58,75,2131,False,36
141,44,30,2669,False,37
156,29,29,1814,False,38
125,30,27,2503,False,39
130,37,79,3917,False,40
126,34,29,1849,True,41
143,45,71,2970,False,42
116,9,12,3369,False,43
117,52,65,2852,False,44
155,96,88,4735,False,45
131,26,28,1983,False,46
135,57,47,3648,True,47
127,51,58,2703,False,48
139,47,64,2250,False,49
124,49,30,2868,False,50
162,68,33,2531,True,51
133,50,63,2384,False,52
109,25,10,2803,False,53
128,42,77,3165,True,54
158,64,34,3817,False,55
126,25,27,2367,True,56
128,38,27,4055,True,57
150,53,30,2867,False,58
161,54,26,2984,False,59
159,64,43,3451,False,60
