pattern,complexity_response,beauty_response,rt,is_repeated,trial
100,50,49,16987,False,1
58,9,8,7973,False,2
78,41,50,5123,False,3
67,10,3,5286,False,4
108,54,50,5924,True,5
70,7,3,4089,False,6
97,50,28,6001,False,7
81,15,39,4605,False,8
55,8,33,6251,False,9
102,54,17,8746,False,10
73,37,57,4509,False,11
80,29,11,5113,True,12
77,16,5,3725,True,13
91,20,41,5316,False,14
56,7,1,3783,False,15
105,51,16,5922,False,16
88,37,50,6231,False,17
106,49,34,6891,True,18
92,23,42,3445,True,19
107,51,30,6521,False,20
72,19,33,3773,False,21
106,49,24,4461,True,22
62,16,37,3618,False,23
71,5,22,4868,False,24
69,7,1,3678,False,25
61,7,1,4792,False,26
99,18,26,4876,False,27
63,3,1,5439,False,28
98,5,27,4103,False,29
85,0,21,6469,False,30
75,5,28,6082,False,31
57,5,1,3669,False,32
93,36,48,6361,False,33
96,36,47,4709,False,34
80,12,6,5348,True,35
68,13,30,8003,False,36
59,8,16,5917,False,37
101,28,38,4674,True,38
74,23,34,3292,False,39
83,40,36,5349,False,40
82,14,3,6319,False,41
76,19,27,3487,False,42
103,37,17,6204,False,43
64,8,20,3252,False,44
87,35,49,3634,False,45
84,23,29,5245,False,46
94,34,42,4321,False,47
79,26,9,4854,False,48
95,36,12,7121,False,49
66,33,42,5221,False,50
108,25,31,3860,True,51
89,34,34,5177,False,52
60,6,16,6478,False,53
86,19,28,3666,False,54
90,2,5,5703,False,55
77,2,0,5611,True,56
92,22,30,4496,True,57
65,9,2,3805,False,58
104,49,12,5159,False,59
101,27,32,9911,True,60
