pattern,complexity_response,beauty_response,rt,is_repeated,trial
205,63,51,5073,False,1
169,21,14,4225,False,2
194,24,51,3931,False,3
209,58,59,3743,True,4
195,29,26,6292,False,5
163,1,3,3975,True,6
167,17,19,3440,False,7
190,95,66,4221,False,8
212,70,27,3473,True,9
184,79,20,4114,False,10
209,82,30,3249,True,11
180,21,24,6727,False,12
207,93,85,6414,False,13
199,55,68,5759,False,14
165,24,8,4542,False,15
173,67,62,2974,False,16
210,71,47,3252,True,17
187,43,41,4050,False,18
197,75,81,2842,False,19
210,67,25,5946,True,20
208,69,91,3912,False,21
215,68,26,3462,False,22
181,41,57,5206,False,23
189,54,3,4441,False,24
171,44,44,3158,False,25
214,68,42,3304,False,26
198,68,70,2704,False,27
182,61,66,3750,False,28
191,79,76,3280,False,29
163,2,28,3382,True,30
201,84,81,3052,False,31
186,79,76,2978,True,32
170,17,2,3080,True,33
212,53,8,3048,True,34
175,56,71,38102,False,35
174,60,72,5593,False,36
178,62,56,2831,False,37
204,62,37,2819,False,38
176,55,66,2806,False,39
179,80,79,2675,False,40
196,60,68,2973,False,41
200,55,8,3323,False,42
192,65,48,5721,False,43
185,59,69,4783,False,44
186,83,76,2985,True,45
168,17,2,3021,False,46
216,69,22,3639,False,47
177,47,5,3779,False,48
206,77,59,2624,False,49
172,10,1,4301,False,50
164,4,1,7735,False,51
183,72,86,13683,False,52
170,19,3,3551,True,53
193,74,66,3390,False,54
188,73,87,3328,False,55
202,62,40,3540,False,56
213,85,93,3575,False,57
211,79,27,3869,False,58
203,70,36,2808,False,59
166,53,75,3158,False,60
