pattern,complexity_response,beauty_response,rt,is_repeated,trial
157,60,63,10690,True,1
126,40,45,7340,True,2
139,18,65,5698,False,3
127,19,66,3391,False,4
131,66,61,6667,False,5
121,24,31,3952,False,6
147,65,63,8186,False,7
110,21,71,5266,True,8
125,46,55,8114,False,9
112,59,58,6929,False,10
142,59,63,6467,True,11
111,33,61,4016,False,12
132,41,58,5008,False,13
135,55,55,4607,False,14
155,60,77,6031,False,15
159,63,73,3403,False,16
123,75,67,5298,False,17
141,78,65,3279,False,18
157,66,55,4726,True,19
117,31,42,6125,False,20
137,67,53,4550,False,21
148,49,49,6498,False,22
160,74,60,24907,False,23
114,41,60,3316,False,24
153,27,60,5119,False,25
109,35,67,5399,True,26
144,32,60,3982,False,27
129,37,46,4373,False,28
130,46,41,6121,False,29
145,46,45,3365,False,30
113,32,45,5375,False,31
158,60,55,4206,False,32
119,28,47,3542,False,33
110,30,52,4262,True,34
120,51,56,4239,False,35
143,44,51,5787,False,36
118,81,73,14561,False,37
140,49,50,5340,False,38
146,53,56,4741,False,39
152,51,56,3727,False,40
122,60,57,3484,False,41
150,67,62,3553,False,42
162,71,59,3781,True,43
116,47,54,5395,False,44
133,33,49,3638,False,45
109,39,48,3697,True,46
149,59,70,6564,False,47
128,30,46,3822,False,48
138,31,49,3155,False,49
156,68,57,3465,False,50
115,80,62,3157,False,51
151,62,52,4381,False,52
136,58,52,3579,False,53
124,67,64,3916,False,54
134,38,55,75731,False,55
162,65,60,3521,True,56
154,52,49,3942,False,57
126,59,35,3940,True,58
142,54,69,6387,True,59
161,67,61,5105,False,60
