pattern,complexity_response,beauty_response,rt,is_repeated,trial
108,82,82,9030,False,1
104,86,28,111912,True,2
106,80,23,9425,False,3
87,82,76,7152,False,4
69,74,34,96136,False,5
78,83,79,7644,False,6
84,74,77,6884,False,7
68,67,80,5813,False,8
55,44,71,6875,False,9
99,73,82,5976,False,10
103,61,31,6313,True,11
73,85,84,44732,True,12
96,76,54,6860,False,13
61,67,42,8116,False,14
90,65,58,13218,True,15
62,60,71,7831,True,16
74,69,80,10805,True,17
70,40,34,17988,False,18
101,75,81,42835,False,19
95,63,44,10545,False,20
100,66,40,28001,False,21
74,74,84,7566,True,22
105,71,42,4333,False,23
98,81,81,4608,False,24
71,61,59,6220,False,25
85,70,72,4646,False,26
60,54,71,4436,False,27
59,46,63,6208,False,28
62,56,78,4282,True,29
77,43,28,15442,False,30
79,42,28,4416,False,31
83,92,81,8428,False,32
97,28,25,6085,False,33
72,84,84,5952,False,34
104,60,32,6745,True,35
93,90,89,42330,False,36
58,19,14,5132,False,37
102,64,25,12783,False,38
75,95,84,10722,False,39
57,6,13,47305,False,40
64,75,84,25669,False,41
107,55,19,5050,False,42
94,89,88,46541,False,43
80,55,22,3901,False,44
67,53,15,4274,False,45
90,69,78,13841,True,46
89,86,87,90328,False,47
92,86,82,4310,False,48
91,75,84,6756,False,49
56,32,15,5575,False,50
63,30,15,5687,False,51
65,37,26,4728,False,52
76,77,82,4851,False,53
66,77,83,5847,False,54
81,75,81,4919,False,55
88,77,83,4194,False,56
82,46,29,4056,False,57
86,81,94,5090,False,58
73,81,90,4483,True,59
103,48,20,9295,True,60
