pattern,complexity_response,beauty_response,rt,is_repeated,trial
152,76,82,5614,False,1
139,31,79,4083,False,2
127,30,50,4079,False,3
109,14,13,3962,False,4
158,82,29,5966,False,5
121,51,48,7492,False,6
117,30,65,5384,True,7
116,19,20,3094,True,8
159,77,77,4432,True,9
141,68,23,3862,True,10
162,69,16,3710,False,11
161,64,23,2651,False,12
138,48,74,3950,False,13
151,72,74,4230,False,14
123,53,23,3479,False,15
110,28,54,3558,False,16
153,52,70,3343,False,17
136,76,75,4535,True,18
157,70,17,3266,False,19
113,15,16,3102,False,20
114,14,15,2709,False,21
126,15,16,2842,False,22
111,20,55,3078,False,23
137,45,25,4328,False,24
150,57,23,4087,False,25
132,70,71,4584,False,26
128,27,69,5801,False,27
160,68,18,5280,False,28
142,32,67,10342,False,29
112,26,20,4776,True,30
156,63,38,3863,False,31
115,26,24,3427,False,32
143,66,76,3326,False,33
131,15,15,3557,False,34
159,71,83,3145,True,35
112,15,16,2990,True,36
117,25,62,4208,True,37
116,11,11,3116,True,38
145,36,72,3378,False,39
146,72,72,2933,False,40
135,51,21,3606,False,41
149,69,54,4562,False,42
118,25,25,3305,False,43
148,76,78,4207,False,44
136,89,81,4399,True,45
129,42,77,2918,False,46
122,42,29,5473,False,47
120,66,54,5357,False,48
144,57,65,3122,False,49
155,76,81,2886,False,50
125,46,34,3518,False,51
154,87,87,3287,False,52
134,73,79,3046,False,53
119,19,63,3098,False,54
124,35,18,3670,False,55
140,69,81,3151,False,56
133,74,75,3069,False,57
130,32,79,3579,False,58
147,59,23,3351,False,59
141,40,28,3054,True,60
