pattern,complexity_response,beauty_response,rt,is_repeated,trial
216,75,19,18355,False,1
173,67,71,19495,False,2
181,69,58,20909,False,3
177,20,13,14200,False,4
208,66,72,15856,False,5
168,10,10,16408,True,6
164,2,1,17700,True,7
206,90,90,16443,False,8
207,90,80,16794,False,9
202,61,85,14620,False,10
165,1,1,16083,False,11
185,67,80,13815,False,12
210,81,23,19339,False,13
172,7,12,15182,False,14
184,65,15,19443,False,15
200,43,59,20689,False,16
168,5,4,17696,True,17
176,34,92,14588,False,18
205,96,96,19573,False,19
186,65,79,14788,False,20
191,98,98,13349,False,21
215,86,8,22635,False,22
178,29,41,18203,False,23
170,7,6,18288,False,24
198,14,66,14972,False,25
167,4,4,14502,False,26
192,72,72,18353,True,27
213,80,83,15850,False,28
174,76,83,16237,False,29
214,68,12,16010,False,30
163,1,62,15017,True,31
183,96,99,17685,False,32
175,18,82,11987,False,33
192,76,81,16275,True,34
180,9,28,17129,False,35
193,81,90,12924,False,36
182,60,89,27069,False,37
209,62,34,13069,False,38
194,58,98,19704,False,39
189,22,17,18084,False,40
187,65,14,15061,False,41
197,77,93,15707,False,42
190,93,97,21245,False,43
164,1,1,13081,True,44
171,23,36,15828,False,45
179,87,89,16465,False,46
163,1,79,15032,True,47
211,74,13,12703,False,48
199,84,68,12615,True,49
195,67,6,13649,False,50
169,24,10,16649,False,51
196,63,99,17326,True,52
199,75,80,15404,True,53
196,62,89,13456,True,54
201,90,94,18591,False,55
203,79,24,17673,False,56
212,69,20,10951,False,57
188,64,96,18352,False,58
204,70,20,15259,False,59
166,14,86,16926,False,60
