pattern,complexity_response,beauty_response,rt,is_repeated,trial
206,51,55,5125,False,1
165,16,67,3116,False,2
172,0,19,2733,False,3
186,66,51,3405,False,4
204,91,42,2692,False,5
192,75,62,2138,False,6
176,48,54,2489,True,7
184,34,14,3487,False,8
180,13,12,2218,False,9
169,4,5,3088,True,10
164,0,0,2541,False,11
212,54,36,1909,False,12
183,80,65,2695,False,13
205,81,77,2153,False,14
167,16,0,2436,False,15
208,77,74,2080,False,16
190,82,70,1720,False,17
214,18,16,2192,False,18
166,24,62,2437,False,19
201,61,45,2320,False,20
207,87,51,2134,False,21
197,63,66,3181,True,22
196,73,88,2486,False,23
195,14,8,1990,False,24
188,84,82,1824,False,25
169,5,7,2685,True,26
199,69,50,4203,False,27
200,26,35,18770,False,28
179,60,52,1841,True,29
194,84,93,2264,False,30
179,78,59,2159,True,31
203,55,29,2992,True,32
168,21,27,2224,False,33
209,52,51,2778,True,34
215,70,42,1636,False,35
163,11,48,2289,False,36
170,4,1,2051,False,37
197,72,61,1960,True,38
193,71,52,1993,False,39
181,57,58,2128,False,40
203,68,21,2711,True,41
178,66,66,2959,False,42
175,47,76,2802,False,43
176,54,76,1726,True,44
173,52,54,2571,False,45
198,75,55,2946,False,46
171,26,14,2286,False,47
189,38,23,2663,False,48
210,25,13,3016,False,49
182,82,53,1975,False,50
185,58,52,1938,False,51
209,63,28,2081,True,52
213,76,50,1934,False,53
191,80,67,1829,False,54
216,48,18,2506,False,55
174,57,39,1509,False,56
211,25,12,2497,False,57
177,34,5,2077,False,58
187,11,8,2112,False,59
202,47,21,2028,False,60
