pattern,complexity_response,beauty_response,rt,is_repeated,trial
108,58,33,9577,False,1
84,11,35,6098,False,2
90,18,3,6245,False,3
76,33,58,6806,False,4
57,5,5,57584,False,5
64,59,60,3545,True,6
69,54,12,4091,False,7
96,69,46,4554,False,8
97,64,40,3729,False,9
70,32,14,4035,False,10
107,45,32,7005,False,11
67,49,63,6126,False,12
77,50,23,4178,False,13
87,79,84,4547,False,14
81,35,53,4154,False,15
106,52,19,9793,False,16
65,52,66,24993,False,17
93,73,83,37344,False,18
59,20,34,27735,True,19
73,71,70,7655,False,20
104,59,17,3722,True,21
91,64,74,4274,False,22
75,62,84,6276,True,23
89,75,83,3667,False,24
59,31,39,6237,True,25
75,71,70,28060,True,26
60,27,52,3097,False,27
98,72,76,64773,False,28
92,72,79,5388,False,29
80,51,26,3297,False,30
94,68,70,3242,False,31
63,33,9,4523,True,32
82,43,54,3448,False,33
88,62,68,7520,False,34
62,48,50,4810,False,35
79,38,16,3642,False,36
66,66,75,4179,False,37
56,18,4,3650,False,38
101,82,82,3554,False,39
103,32,3,14967,False,40
64,71,60,5805,True,41
95,63,22,10041,False,42
85,79,59,5036,False,43
55,2,58,4196,False,44
100,38,19,12894,False,45
74,78,81,4859,False,46
104,64,29,9758,True,47
102,33,21,31422,False,48
105,32,20,2881,False,49
78,69,77,2978,False,50
99,72,65,5356,False,51
86,71,85,3082,False,52
72,76,76,3089,False,53
63,3,12,4082,True,54
71,15,54,3747,False,55
61,52,2,8601,False,56
58,11,7,3619,True,57
83,82,63,3138,False,58
58,4,4,3899,True,59
68,77,53,4483,False,60
