pattern,complexity_response,beauty_response,rt,is_repeated,trial
68,33,35,6980,False,1
88,51,50,3044,False,2
91,53,53,3875,True,3
107,58,57,2859,False,4
72,69,74,3265,False,5
104,68,67,3194,False,6
71,20,17,3106,False,7
93,50,51,4612,True,8
87,73,72,7703,False,9
82,53,50,6084,False,10
58,13,13,4717,False,11
60,15,15,4006,False,12
56,9,9,4000,False,13
89,51,50,3994,False,14
69,24,24,4747,True,15
98,66,67,4227,False,16
101,53,52,2512,False,17
106,65,64,2290,True,18
70,23,23,3326,False,19
95,53,53,3636,False,20
103,50,51,2509,False,21
59,26,24,3319,False,22
77,20,19,2671,False,23
84,10,12,2336,False,24
63,6,7,4268,False,25
61,11,11,4691,False,26
66,14,17,3666,False,27
90,21,16,4744,False,28
73,58,61,7330,False,29
75,28,24,8226,False,30
62,62,58,4728,False,31
81,52,49,2997,False,32
65,47,49,4206,False,33
55,49,50,3135,True,34
97,48,47,4374,False,35
86,50,50,4297,False,36
96,49,49,3700,False,37
94,25,26,3471,False,38
106,55,50,2660,True,39
74,69,65,2461,True,40
80,67,62,1734,False,41
100,48,52,1524,False,42
91,55,44,2619,True,43
93,51,50,3538,True,44
64,50,49,2454,False,45
85,68,71,2214,False,46
74,70,75,4625,True,47
108,71,67,5089,False,48
55,70,64,4136,True,49
99,62,60,4269,False,50
92,52,47,3610,False,51
67,43,46,2366,False,52
102,63,54,2783,False,53
105,39,47,3848,False,54
69,40,40,4088,True,55
79,52,48,2040,False,56
76,60,67,2773,False,57
57,49,49,1707,False,58
78,63,66,2953,False,59
83,46,41,2752,False,60
