pattern,complexity_response,beauty_response,rt,is_repeated,trial
52,51,71,4997,False,1
8,9,11,3961,False,2
3,3,22,5381,False,3
39,32,42,5930,False,4
33,41,34,5098,True,5
34,53,62,4130,False,6
5,55,64,3464,True,7
21,61,67,3931,False,8
42,72,78,3482,False,9
46,64,79,5347,False,10
5,70,78,3115,True,11
25,81,98,4147,False,12
20,62,68,3248,False,13
45,65,77,2613,False,14
23,70,77,3832,False,15
29,97,97,3297,True,16
14,98,95,2864,False,17
40,94,95,2883,False,18
41,58,69,15149,True,19
37,91,92,6831,False,20
1,0,0,5598,False,21
29,67,84,3814,True,22
4,11,59,4013,False,23
7,0,0,4582,False,24
15,0,0,26083,False,25
11,0,0,6681,False,26
18,5,35,3465,False,27
30,65,66,3965,False,28
51,47,64,2731,False,29
54,37,30,5731,False,30
35,41,67,2815,False,31
27,32,20,2964,False,32
12,46,63,55318,False,33
13,0,0,5832,False,34
53,32,39,5765,False,35
50,7,7,4365,False,36
48,5,5,28899,False,37
28,37,46,3049,False,38
17,0,0,5281,False,39
9,79,83,17482,True,40
6,58,74,3030,False,41
38,91,91,4130,False,42
9,89,93,2679,True,43
33,79,25,5284,True,44
44,86,84,3081,False,45
2,0,0,6666,False,46
24,0,0,5214,False,47
36,72,89,4648,False,48
32,79,98,6432,False,49
47,34,10,5197,False,50
22,12,4,4549,True,51
43,10,2,3315,False,52
26,18,7,3547,False,53
49,6,2,3731,False,54
22,3,2,4165,True,55
10,20,0,5981,False,56
31,12,19,3331,False,57
41,64,74,3648,True,58
16,6,3,3748,False,59
19,74,86,3232,False,60
